t	w	alpha
0	0	0
0.001	0.127299017	0.000114803
0.002	0.253036102	0.000457336
0.003	0.37723042	0.001024805
0.004	0.4999009	0.001814449
0.005	0.62106624	0.002823542
0.006	0.740744908	0.004049392
0.007	0.858955144	0.00548934
0.008	0.975714966	0.007140758
0.009	1.09104217	0.009001052
0.01	1.204954334	0.011067658
0.011	1.31746882	0.013338046
0.012	1.428602778	0.015809715
0.013	1.538373146	0.018480195
0.014	1.646796655	0.021347048
0.015	1.753889831	0.024407863
0.016	1.859668997	0.02766026
0.017	1.964150275	0.03110189
0.018	2.067349591	0.03473043
0.019	2.169282673	0.038543586
0.02	2.269965058	0.042539095
0.021	2.369412092	0.046714717
0.022	2.467638932	0.051068244
0.023	2.564660551	0.055597492
0.024	2.660491734	0.060300305
0.025	2.75514709	0.065174554
0.026	2.848641045	0.070218136
0.027	2.940987849	0.075428972
0.028	3.032201578	0.08080501
0.029	3.122296134	0.086344224
0.03	3.211285249	0.092044611
0.031	3.299182487	0.097904193
0.032	3.386001244	0.103921019
0.033	3.471754755	0.110093157
0.034	3.556456088	0.116418702
0.035	3.640118154	0.122895773
0.036	3.722753704	0.12952251
0.037	3.804375334	0.136297076
0.038	3.884995484	0.143217658
0.039	3.964626443	0.150282465
0.04	4.043280346	0.157489726
0.041	4.120969183	0.164837693
0.042	4.197704795	0.172324641
0.043	4.273498878	0.179948864
0.044	4.348362983	0.187708677
0.045	4.422308522	0.195602418
0.046	4.495346765	0.203628442
0.047	4.567488844	0.211785127
0.048	4.638745756	0.220070869
0.049	4.709128361	0.228484085
0.05	4.778647386	0.237023211
0.051	4.847313428	0.245686702
0.052	4.915136952	0.254473032
0.053	4.982128296	0.263380694
0.054	5.048297671	0.2724082
0.055	5.113655162	0.281554077
0.056	5.178210731	0.290816875
0.057	5.241974216	0.300195159
0.058	5.304955338	0.309687512
0.059	5.367163694	0.319292533
0.06	5.428608768	0.329008842
0.061	5.489299923	0.338835071
0.062	5.549246411	0.348769873
0.063	5.608457369	0.358811916
0.064	5.666941821	0.368959882
0.065	5.724708682	0.379212474
0.066	5.781766755	0.389568407
0.067	5.838124738	0.400026413
0.068	5.893791221	0.41058524
0.069	5.948774688	0.421243651
0.07	6.00308352	0.432000423
