t	I1	I2	I3	I4
0	0	0	0	0
0.001	0.14083875	0.14083875	0.14083875	0.14083875
0.002	0.508592229	0.508453043	0.508292323	0.508054376
0.003	1.031883467	1.03120279	1.030417068	1.029254321
0.004	1.655537835	1.653574093	1.651308371	1.647957552
0.005	2.337316408	2.33297131	2.327961012	2.320557053
0.006	3.045270789	3.037109626	3.027705801	3.013822568
0.007	3.75560492	3.741899519	3.726120515	3.702851383
0.008	4.45095013	4.429733721	4.405330815	4.369390213
0.009	5.118976599	5.088103192	5.052631447	5.000464182
0.01	5.751278403	5.708481684	5.659370157	5.587259539
0.011	6.342480733	6.285429297	6.220046822	6.124215781
0.012	6.889527299	6.815874337	6.731588612	6.608290317
0.013	7.391113603	7.298540083	7.192768918	7.038365055
0.014	7.847238128	7.733489142	7.603743449	7.414769537
0.015	8.258848618	8.121763022	7.965681689	7.738899571
0.016	8.627564914	8.465098635	8.280475717	8.012913953
0.017	8.955463223	8.7657068	8.550511715	8.239494873
0.018	9.24490959	9.026100588	8.77849206	8.421660121
0.019	9.498432625	9.24896358	8.967298155	8.562617296
0.02	9.718627436	9.437050008	9.119885928	8.665651955
0.021	9.908084271	9.593110215	9.239207421	8.734043063
0.022	10.06933663	9.719836169	9.328153139	8.771000323
0.023	10.20482461	9.819822736	9.389510781	8.779618938
0.024	10.31687015	9.895541272	9.425936876	8.762848162
0.025	10.40766132	9.949322767	9.439938449	8.723470703
0.026	10.47924378	9.983348312	9.433862441	8.66409057
0.027	10.5335173	9.99964513	9.409891054	8.587127423
0.028	10.57223633	10.00008675	9.370041538	8.494815865
0.029	10.59701334	9.986396219	9.316169258	8.389208423
0.03	10.60932423	9.960151465	9.249973127	8.27218121
0.031	10.61051494	9.922792143	9.17300266	8.145441485
0.032	10.60180911	9.875627411	9.086666099	8.010536476
0.033	10.58431598	9.819844247	8.99223916	7.868862974
0.034	10.55903865	9.756515984	8.890874072	7.721677335
0.035	10.52688218	9.686610845	8.783608653	7.570105584
0.036	10.48866153	9.611000297	8.671375242	7.415153417
0.037	10.44510918	9.530467112	8.555009342	7.257715934
0.038	10.3968824	9.445713044	8.435257889	7.098586994
0.039	10.34457007	9.357366088	8.312787084	6.938468112
0.04	10.28869905	9.265987265	8.188189749	6.777976852
0.041	10.2297401	9.17207694	8.061992185	6.617654683
0.042	10.16811333	9.07608067	7.93466054	6.457974295
0.043	10.10419325	8.978394582	7.806606685	6.299346374
0.044	10.03831332	8.879370308	7.678193608	6.142125845
0.045	9.970770165	8.779319498	7.549740363	5.986617605
0.046	9.901827368	8.67851792	7.42152658	5.833081769
0.047	9.831718936	8.577209192	7.29379657	5.681738459
0.048	9.760652409	8.475608162	7.166763055	5.53277215
0.049	9.688811685	8.373903961	7.040610537	5.386335625
0.05	9.616359555	8.27226276	6.915498356	5.242553542
0.051	9.543439987	8.17083025	6.791563434	5.101525668
0.052	9.470180177	8.069733876	6.668922753	4.963329782
0.053	9.396692385	7.969084839	6.547675586	4.828024294
0.054	9.323075585	7.868979893	6.427905489	4.695650597
0.055	9.249416935	7.769502954	6.309682096	4.566235168
0.056	9.175793091	7.670726541	6.193062725	4.439791459
0.057	9.102271388	7.572713056	6.078093809	4.316321578
0.058	9.028910882	7.475515943	5.964812179	4.195817795
0.059	8.955763287	7.3791807	5.853246209	4.07826388
0.06	8.882873806	7.283745804	5.743416835	3.963636293
0.061	8.810281872	7.189243514	5.635338462	3.851905249
0.062	8.738021805	7.095700601	5.529019773	3.743035647
0.063	8.666123402	7.003138989	5.424464451	3.636987913
0.064	8.594612449	6.91157633	5.321671811	3.533718726
0.065	8.523511189	6.821026507	5.220637373	3.433181671
0.066	8.452838733	6.731500092	5.121353362	3.335327815
0.067	8.382611417	6.64300474	5.023809153	3.240106204
0.068	8.312843133	6.55554555	4.92799167	3.147464309
0.069	8.243545607	6.469125376	4.833885728	3.057348412
0.07	8.174728658	6.383745107	4.74147435	2.969703946
0.071	8.106400423	6.299403915	4.650739033	2.884475789
0.072	8.038567549	6.216099474	4.561659992	2.801608524
0.073	7.971235379	6.133828151	4.474216373	2.721046657
0.074	7.9044081	6.052585182	4.388386437	2.642734813
0.075	7.838088885	5.972364819	4.304147728	2.566617902
0.076	7.772280013	5.893160466	4.221477215	2.49264126
0.077	7.706982978	5.814964797	4.140351422	2.420750767
0.078	7.642198587	5.73776986	4.060746533	2.350892957
0.079	7.577927039	5.66156717	3.982638499	2.283015098
0.08	7.514168004	5.58634779	3.906003114	2.217065265
0.081	7.450920687	5.5121024	3.830816095	2.152992401
0.082	7.388183887	5.438821365	3.757053146	2.090746364
0.083	7.325956051	5.366494786	3.68469001	2.030277967
0.084	7.264235313	5.295112554	3.613702524	1.971539005
0.085	7.20301954	5.224664386	3.544066657	1.914482278
0.086	7.142306366	5.155139869	3.475758545	1.859061613
