t	alpha1	alpha2	alpha3	alpha4
0	0	0	0	0
0.001	0	0	0	0
0.002	2.11E-06	3.25E-06	4.56E-06	6.51E-06
0.003	1.08E-05	1.67E-05	2.35E-05	3.35E-05
0.004	3.27E-05	5.04E-05	7.08E-05	1.01E-04
0.005	7.54E-05	0.000116156	1.63E-04	2.33E-04
0.006	0.000147501	0.000227177	0.000319	0.000454589
0.007	0.000257841	0.000396983	0.000557215	0.000793581
0.008	0.000415303	0.000639166	0.00089674	0.00127627
0.009	0.000628592	0.000967001	0.001356001	0.001928464
0.01	0.000906075	0.001393201	0.001952569	0.002774611
0.011	0.001255676	0.001929751	0.002702921	0.003837456
0.012	0.001684807	0.002587801	0.003622287	0.00513782
0.013	0.002200326	0.003377605	0.00472457	0.006694478
0.014	0.002808527	0.004308498	0.006022304	0.008524117
0.015	0.003515131	0.00538889	0.007526665	0.010641347
0.016	0.004325302	0.006626295	0.009247496	0.01305875
0.017	0.00524367	0.008027354	0.011193359	0.015786969
0.018	0.006274348	0.009597886	0.013371603	0.018834806
0.019	0.007420972	0.01134293	0.015788431	0.022209338
0.02	0.008686724	0.013266803	0.018448984	0.025916049
0.021	0.010074371	0.015373146	0.021357417	0.029958945
0.022	0.01158629	0.017664981	0.024516982	0.034340694
0.023	0.013224509	0.020144765	0.027930102	0.039062738
0.024	0.014990729	0.022814435	0.031598453	0.044125423
0.025	0.016886358	0.02567546	0.035523031	0.049528107
0.026	0.018912538	0.028728884	0.039704223	0.055269271
0.027	0.02107017	0.031975369	0.044141868	0.061346619
0.028	0.023359935	0.035415232	0.048835319	0.067757172
0.029	0.025782322	0.039048485	0.053783498	0.074497354
0.03	0.028337643	0.042874868	0.058984945	0.081563074
0.031	0.031026054	0.046893873	0.064437862	0.088949795
0.032	0.033847572	0.051104782	0.070140162	0.096652606
0.033	0.036802088	0.055506683	0.076089499	0.104666274
0.034	0.039889384	0.060098501	0.08228331	0.112985307
0.035	0.043109145	0.064879011	0.088718841	0.121603996
0.036	0.046460967	0.069846864	0.095393177	0.130516463
0.037	0.049944372	0.075000598	0.10230327	0.139716697
0.038	0.053558814	0.080338658	0.109445957	0.14919859
0.039	0.05730369	0.085859404	0.116817984	0.158955971
0.04	0.061178342	0.091561129	0.124416022	0.168982627
0.041	0.065182072	0.097442067	0.132236686	0.179272331
0.042	0.069314139	0.103500402	0.140276546	0.189818863
0.043	0.073573772	0.109734278	0.14853214	0.200616027
0.044	0.077960167	0.116141806	0.156999987	0.211657669
0.045	0.0824725	0.122721072	0.165676598	0.222937689
0.046	0.087109924	0.129470141	0.174558479	0.234450051
0.047	0.091871573	0.136387063	0.183642147	0.246188799
0.048	0.096756568	0.143469881	0.192924128	0.258148059
0.049	0.101764017	0.150716628	0.202400969	0.27032205
0.05	0.106893021	0.158125339	0.21206924	0.28270509
0.051	0.11214267	0.165694047	0.221925541	0.2952916
0.052	0.117512048	0.173420792	0.231966501	0.308076106
0.053	0.123000238	0.181303617	0.242188787	0.321053245
0.054	0.128606318	0.189340576	0.252589101	0.334217767
0.055	0.134329363	0.197529733	0.263164189	0.347564534
0.056	0.14016845	0.205869165	0.273910836	0.361088524
0.057	0.146122656	0.214356961	0.28482587	0.374784829
0.058	0.152191057	0.222991226	0.295906166	0.388648658
0.059	0.158372735	0.231770079	0.307148645	0.402675334
0.06	0.16466677	0.240691657	0.318550273	0.416860294
0.061	0.171072249	0.249754115	0.330108063	0.431199091
0.062	0.177588261	0.258955625	0.341819078	0.445687388
0.063	0.184213899	0.268294377	0.353680426	0.460320959
0.064	0.190948261	0.277768582	0.365689265	0.475095688
0.065	0.197790451	0.287376468	0.3778428	0.490007569
0.066	0.204739576	0.297116284	0.390138283	0.505052698
0.067	0.21179475	0.306986299	0.402573016	0.520227278
0.068	0.218955091	0.316984801	0.415144347	0.535527614
0.069	0.226219725	0.327110098	0.427849669	0.550950109
0.07	0.233587782	0.337360519	0.440686425	0.566491266
0.071	0.241058398	0.347734412	0.453652101	0.582147684
0.072	0.248630716	0.358230147	0.466744231	0.597916055
0.073	0.256303886	0.368846111	0.479960392	0.613793163
0.074	0.264077062	0.379580715	0.493298208	0.62977588
0.075	0.271949407	0.390432386	0.506755343	0.645861167
0.076	0.279920088	0.401399572	0.520329509	0.662046071
0.077	0.287988279	0.412480743	0.534018457	0.67832772
0.078	0.296153161	0.423674384	0.547819981	0.694703324
0.079	0.304413922	0.434979005	0.561731917	0.711170171
0.08	0.312769756	0.446393129	0.575752141	0.727725627
0.081	0.321219861	0.457915303	0.589878569	0.744367132
0.082	0.329763446	0.469544091	0.604109157	0.7610922
0.083	0.338399722	0.481278075	0.6184419	0.777898415
0.084	0.347127909	0.493115857	0.63287483	0.794783429
0.085	0.355947232	0.505056054	0.647406017	0.811744964
0.086	0.364856925	0.517097306	0.662033566	0.828780804
0.087	0.373856224	0.529238268	0.676755622	0.845888798
0.088	0.382944375	0.541477611	0.691570363	0.863066858
0.089	0.392120628	0.553814027	0.706476	0.880312953
0.09	0.401384241	0.566246224	0.721470782	0.897625114
0.091	0.410734476	0.578772925	0.736552988	0.915001426
0.092	0.420170602	0.591392873	0.751720934	0.93244003
0.093	0.429691896	0.604104826	0.766972964	0.94993912
0.094	0.439297639	0.616907558	0.782307458	0.967496944
0.095	0.448987118	0.62979986	0.797722822	0.985111799
0.096	0.458759626	0.642780539	0.813217498	1.00278203
0.097	0.468614463	0.655848417	0.828789954	1.020506033
0.098	0.478550934	0.669002334	0.84443869	1.038282248
0.099	0.48856835	0.682241142	0.860162233	1.056109161
0.1	0.498666027	0.69556371	0.87595914	1.073985301
0.101	0.508843289	0.708968923	0.891827994	1.09190924
0.102	0.519099464	0.722455679	0.907767406	1.109879592
0.103	0.529433884	0.736022892	0.923776016	1.127895011
0.104	0.539845891	0.749669489	0.939852486	1.145954188
0.105	0.550334828	0.763394413	0.955995508	1.164055854
0.106	0.560900047	0.777196619	0.972203795	1.182198777
0.107	0.571540903	0.791075079	0.988476089	1.200381759
0.108	0.582256757	0.805028774	1.004811153	1.218603638
0.109	0.593046978	0.819056704	1.021207775	1.236863285
0.11	0.603910936	0.833157878	1.037664768	1.255159604
0.111	0.61484801	0.847331321	1.054180965	1.273491531
0.112	0.625857581	0.861576069	1.070755224	1.291858033
0.113	0.636939038	0.875891171	1.087386423	1.310258106
0.114	0.648091774	0.890275691	1.104073463	1.328690776
0.115	0.659315187	0.904728703	1.120815266	1.347155097
0.116	0.67060868	0.919249294	1.137610774	1.36565015
0.117	0.681971662	0.933836563	1.154458951	1.384175044
0.118	0.693403546	0.948489622	1.17135878	1.402728912
0.119	0.704903749	0.963207594	1.188309262	1.421310913
0.12	0.716471696	0.977989613	1.205309421	1.43992023
0.121	0.728106815	0.992834826	1.222358297	1.458556072
0.122	0.739808537	1.007742391	1.239454949	1.477217668
0.123	0.751576301	1.022711476	1.256598455	1.49590427
0.124	0.763409549	1.037741262	1.27378791	1.514615153
0.125	0.775307728	1.052830939	1.291022426	1.533349612
0.126	0.787270291	1.06797971	1.308301135	1.552106962
0.127	0.799296692	1.083186786	1.325623181	1.57088654
0.128	0.811386394	1.09845139	1.34298773	1.5896877
0.129	0.823538861	1.113772756	1.360393959	1.608509815
0.13	0.835753564	1.129150127	1.377841064	1.627352277
0.131	0.848029978	1.144582757	1.395328256	1.646214496
0.132	0.860367581	1.160069909	1.41285476	1.665095898
0.133	0.872765856	1.175610856	1.430419818	1.683995927
0.134	0.885224291	1.191204881	1.448022686	1.702914041
0.135	0.897742379	1.206851277	1.465662632	1.721849716
0.136	0.910319615	1.222549346	1.483338941	1.740802442
0.137	0.922955501	1.238298399	1.501050911	1.759771724
0.138	0.93564954	1.254097756	1.518797854	1.778757081
0.139	0.948401243	1.269946747	1.536579093	1.797758047
0.14	0.961210121	1.28584471	1.554393967	1.816774169
0.141	0.974075692	1.301790993	1.572241827	1.835805007
0.142	0.986997478	1.317784952	1.590122034	1.854850133
0.143	0.999975004	1.33382595	1.608033965	1.873909133
0.144	1.013007799	1.349913362	1.625977008	1.892981605
0.145	1.026095397	1.366046568	1.64395056	1.912067156
0.146	1.039237334	1.382224958	1.661954034	1.931165408
0.147	1.052433153	1.39844793	1.679986851	1.950275992
0.148	1.065682397	1.414714889	1.698048445	1.969398549
0.149	1.078984616	1.431025249	1.71613826	1.988532733
0.15	1.092339363	1.447378432	1.734255751	2.007678205
0.151	1.105746194	1.463773867	1.752400384	2.026834639
0.152	1.119204669	1.480210991	1.770571635	2.046001715
0.153	1.132714352	1.496689248	1.788768989	2.065179126
0.154	1.146274811	1.513208089	1.806991943	2.08436657
0.155	1.159885617	1.529766975	1.825240002	2.103563757
0.156	1.173546345	1.54636537	1.843512681	2.122770404
0.157	1.187256574	1.563002749	1.861809506	2.141986236
0.158	1.201015884	1.579678592	1.880130009	2.161210987
0.159	1.214823863	1.596392386	1.898473734	2.180444398
0.16	1.228680099	1.613143625	1.916840232	2.199686217
0.161	1.242584184	1.62993181	1.935229064	2.2189362
0.162	1.256535715	1.646756449	1.953639798	2.238194111
0.163	1.270534291	1.663617056	1.972072011	2.257459719
0.164	1.284579515	1.680513151	1.990525288	2.276732801
0.165	1.298670992	1.697444262	2.008999223	2.296013139
0.166	1.312808333	1.714409921	2.027493417	2.315300524
0.167	1.326991149	1.731409668	2.046007479	2.33459475
0.168	1.341219058	1.748443049	2.064541025	2.35389562
0.169	1.355491678	1.765509616	2.083093678	2.37320294
0.17	1.369808631	1.782608926	2.101665071	2.392516522
0.171	1.384169544	1.799740542	2.12025484	2.411836186
0.172	1.398574045	1.816904034	2.138862631	2.431161755
0.173	1.413021767	1.834098978	2.157488096	2.450493057
0.174	1.427512343	1.851324954	2.176130895	2.469829925
0.175	1.442045413	1.868581548	2.194790691	2.489172199
0.176	1.456620617	1.885868352	2.213467157	2.508519721
0.177	1.4712376	1.903184964	2.232159971	2.527872339
0.178	1.485896009	1.920530986	2.250868818	2.547229906
0.179	1.500595495	1.937906026	2.269593387	2.566592276
0.18	1.515335709	1.955309698	2.288333375	2.585959312
0.181	1.530116309	1.97274162	2.307088485	2.605330877
0.182	1.544936954	1.990201414	2.325858424	2.624706841
0.183	1.559797305	2.007688711	2.344642906	2.644087074
0.184	1.574697027	2.025203143	2.36344165	2.663471454
0.185	1.589635787	2.042744348	2.382254381	2.682859861
0.186	1.604613256	2.06031197	2.401080829	2.702252176
0.187	1.619629108	2.077905656	2.419920729	2.721648287
0.188	1.634683018	2.095525059	2.43877382	2.741048084
0.189	1.649774664	2.113169837	2.457639849	2.760451459
0.19	1.664903728	2.130839651	2.476518566	2.779858309
0.191	1.680069895	2.148534167	2.495409725	2.799268533
0.192	1.69527285	2.166253056	2.514313087	2.818682033
0.193	1.710512283	2.183995994	2.533228415	2.838098713
0.194	1.725787887	2.201762659	2.552155478	2.857518482
0.195	1.741099355	2.219552736	2.571094051	2.87694125
0.196	1.756446385	2.237365912	2.59004391	2.896366929
0.197	1.771828677	2.255201879	2.609004839	2.915795436
0.198	1.787245933	2.273060335	2.627976622	2.935226688
0.199	1.802697857	2.290940978	2.64695905	2.954660606
0.2	1.818184157	2.308843513	2.665951919	2.974097111
0.201	1.833704543	2.326767649	2.684955026	2.99353613
0.202	1.849258727	2.344713097	2.703968173	3.012977588
0.203	1.864846423	2.362679574	2.722991167	3.032421416
0.204	1.880467349	2.380666798	2.742023818	3.051867544
0.205	1.896121224	2.398674495	2.761065938	3.071315906
0.206	1.911807769	2.41670239	2.780117346	3.090766437
0.207	1.927526709	2.434750214	2.799177862	3.110219073
0.208	1.943277771	2.452817703	2.81824731	3.129673755
0.209	1.959060682	2.470904593	2.837325517	3.149130421
0.21	1.974875175	2.489010626	2.856412315	3.168589016
0.211	1.990720982	2.507135547	2.875507537	3.188049482
0.212	2.00659784	2.525279104	2.894611021	3.207511766
0.213	2.022505485	2.543441049	2.913722608	3.226975814
0.214	2.038443658	2.561621137	2.93284214	3.246441576
0.215	2.054412101	2.579819126	2.951969465	3.265909002
0.216	2.070410559	2.598034777	2.971104431	3.285378043
0.217	2.086438778	2.616267854	2.990246892	3.304848653
0.218	2.102496507	2.634518127	3.009396703	3.324320785
0.219	2.118583496	2.652785364	3.028553721	3.343794397
0.22	2.134699499	2.671069341	3.047717808	3.363269444
0.221	2.150844271	2.689369834	3.066888827	3.382745885
0.222	2.167017568	2.707686623	3.086066644	3.402223681
0.223	2.18321915	2.726019491	3.105251128	3.42170279
0.224	2.199448778	2.744368223	3.124442151	3.441183176
0.225	2.215706215	2.762732609	3.143639585	3.460664802
0.226	2.231991226	2.781112438	3.162843308	3.48014763
0.227	2.24830358	2.799507506	3.182053197	3.499631627
0.228	2.264643043	2.81791761	3.201269133	3.519116758
0.229	2.281009389	2.836342548	3.220491001	3.538602991
0.23	2.297402389	2.854782124	3.239718685	3.558090293
0.231	2.313821819	2.873236141	3.258952073	3.577578633
0.232	2.330267455	2.891704409	3.278191055	3.597067982
0.233	2.346739077	2.910186736	3.297435522	3.61655831
0.234	2.363236464	2.928682935	3.31668537	3.636049589
0.235	2.3797594	2.947192822	3.335940494	3.655541791
0.236	2.396307668	2.965716213	3.355200791	3.675034889
0.237	2.412881055	2.98425293	3.374466163	3.694528857
0.238	2.429479349	3.002802794	3.393736512	3.71402367
0.239	2.446102338	3.02136563	3.41301174	3.733519304
0.24	2.462749816	3.039941265	3.432291755	3.753015734
0.241	2.479421574	3.058529529	3.451576462	3.772512938
0.242	2.496117408	3.077130253	3.470865773	3.792010892
0.243	2.512837115	3.095743271	3.490159598	3.811509576
0.244	2.529580493	3.114368419	3.50945785	3.831008968
0.245	2.546347342	3.133005536	3.528760443	3.850509048
0.246	2.563137464	3.151654462	3.548067293	3.870009795
0.247	2.579950663	3.17031504	3.567378319	3.88951119
0.248	2.596786743	3.188987114	3.586693439	3.909013215
0.249	2.613645511	3.207670531	3.606012576	3.928515851
0.25	2.630526777	3.22636514	3.62533565	3.94801908
0.251	2.647430349	3.245070792	3.644662586	3.967522885
0.252	2.66435604	3.26378734	3.66399331	3.98702725
0.253	2.681303662	3.282514638	3.683327748	4.006532158
0.254	2.698273032	3.301252542	3.702665828	4.026037593
0.255	2.715263964	3.320000913	3.722007481	4.045543541
0.256	2.732276277	3.33875961	3.741352637	4.065049986
0.257	2.74930979	3.357528495	3.760701229	4.084556913
0.258	2.766364325	3.376307433	3.78005319	4.104064309
0.259	2.783439703	3.395096289	3.799408456	4.123572161
0.26	2.80053575	3.413894932	3.818766961	4.143080454
0.261	2.817652289	3.432703231	3.838128645	4.162589177
0.262	2.834789149	3.451521058	3.857493445	4.182098316
0.263	2.851946158	3.470348285	3.876861302	4.201607859
0.264	2.869123145	3.489184787	3.896232155	4.221117796
0.265	2.886319942	3.50803044	3.915605948	4.240628114
0.266	2.903536382	3.526885123	3.934982624	4.260138803
0.267	2.920772298	3.545748715	3.954362127	4.279649851
0.268	2.938027527	3.564621097	3.973744402	4.299161248
0.269	2.955301905	3.583502153	3.993129396	4.318672984
0.27	2.97259527	3.602391766	4.012517057	4.338185049
0.271	2.989907463	3.621289823	4.031907332	4.357697435
0.272	3.007238324	3.64019621	4.051300172	4.37721013
0.273	3.024587695	3.659110818	4.070695526	4.396723127
0.274	3.041955421	3.678033536	4.090093347	4.416236416
0.275	3.059341346	3.696964256	4.109493587	4.43574999
0.276	3.076745317	3.715902872	4.128896198	4.455263839
0.277	3.094167181	3.734849278	4.148301136	4.474777956
0.278	3.111606787	3.753803371	4.167708355	4.494292334
0.279	3.129063985	3.772765047	4.187117811	4.513806963
0.28	3.146538628	3.791734207	4.206529461	4.533321839
0.281	3.164030567	3.81071075	4.225943263	4.552836952
0.282	3.181539656	3.829694577	4.245359175	4.572352296
0.283	3.199065751	3.848685593	4.264777156	4.591867865
0.284	3.216608708	3.8676837	4.284197167	4.611383651
0.285	3.234168385	3.886688805	4.303619168	4.63089965
0.286	3.251744641	3.905700814	4.32304312	4.650415854
0.287	3.269337334	3.924719635	4.342468987	4.669932257
0.288	3.286946328	3.943745177	4.361896731	4.689448854
0.289	3.304571484	3.962777351	4.381326315	4.708965639
0.29	3.322212665	3.981816068	4.400757706	4.728482607
0.291	3.339869737	4.000861242	4.420190866	4.747999752
0.292	3.357542565	4.019912785	4.439625763	4.767517069
0.293	3.375231016	4.038970613	4.459062362	4.787034554
0.294	3.392934958	4.058034643	4.478500632	4.806552201
0.295	3.41065426	4.077104792	4.497940539	4.826070005
0.296	3.428388794	4.096180978	4.517382052	4.845587962
0.297	3.446138429	4.11526312	4.53682514	4.865106069
0.298	3.463903039	4.13435114	4.556269772	4.884624319
0.299	3.481682497	4.153444958	4.57571592	4.90414271
0.3	3.499476677	4.172544498	4.595163553	4.923661236
0.301	3.517285456	4.191649684	4.614612642	4.943179895
0.302	3.535108711	4.21076044	4.634063161	4.962698682
0.303	3.552946318	4.229876691	4.65351508	4.982217593
0.304	3.570798157	4.248998365	4.672968373	5.001736625
0.305	3.588664107	4.26812539	4.692423014	5.021255775
0.306	3.60654405	4.287257693	4.711878977	5.040775039
0.307	3.624437867	4.306395206	4.731336235	5.060294413
0.308	3.642345442	4.325537857	4.750794765	5.079813895
0.309	3.660266657	4.344685579	4.770254541	5.099333481
0.31	3.678201398	4.363838305	4.789715539	5.118853169
0.311	3.69614955	4.382995967	4.809177736	5.138372955
0.312	3.714111001	4.402158499	4.828641108	5.157892836
0.313	3.732085638	4.421325837	4.848105634	5.177412811
0.314	3.75007335	4.440497917	4.86757129	5.196932875
0.315	3.768074026	4.459674676	4.887038054	5.216453027
0.316	3.786087556	4.47885605	4.906505907	5.235973263
0.317	3.804113833	4.498041979	4.925974825	5.255493583
0.318	3.822152749	4.517232402	4.94544479	5.275013982
0.319	3.840204197	4.536427259	4.96491578	5.294534459
0.32	3.85826807	4.555626491	4.984387775	5.314055011
0.321	3.876344265	4.57483004	5.003860757	5.333575637
0.322	3.894432677	4.594037847	5.023334707	5.353096333
0.323	3.912533203	4.613249857	5.042809605	5.372617099
0.324	3.930645741	4.632466013	5.062285433	5.392137932
0.325	3.948770189	4.65168626	5.081762174	5.41165883
0.326	3.966906447	4.670910543	5.10123981	5.431179792
0.327	3.985054415	4.690138809	5.120718323	5.450700815
0.328	4.003213994	4.709371005	5.140197696	5.470221897
0.329	4.021385086	4.728607078	5.159677914	5.489743037
0.33	4.039567593	4.747846976	5.179158959	5.509264234
0.331	4.057761421	4.767090649	5.198640815	5.528785485
0.332	4.075966472	4.786338046	5.218123468	5.548306789
0.333	4.094182652	4.805589118	5.237606901	5.567828145
0.334	4.112409868	4.824843815	5.2570911	5.58734955
0.335	4.130648025	4.84410209	5.27657605	5.606871004
0.336	4.148897032	4.863363894	5.296061735	5.626392505
0.337	4.167156797	4.882629181	5.315548143	5.645914052
0.338	4.185427229	4.901897903	5.335035259	5.665435644
0.339	4.203708239	4.921170017	5.354523069	5.684957278
0.34	4.221999736	4.940445475	5.37401156	5.704478954
0.341	4.240301632	4.959724234	5.393500719	5.724000671
0.342	4.258613839	4.979006249	5.412990533	5.743522428
0.343	4.276936271	4.998291477	5.43248099	5.763044223
0.344	4.295268841	5.017579876	5.451972076	5.782566055
0.345	4.313611463	5.036871403	5.47146378	5.802087923
0.346	4.331964053	5.056166016	5.49095609	5.821609826
0.347	4.350326526	5.075463675	5.510448994	5.841131763
0.348	4.368698799	5.094764338	5.52994248	5.860653734
0.349	4.387080789	5.114067965	5.549436538	5.880175736
0.35	4.405472414	5.133374518	5.568931156	5.89969777
0.351	4.423873593	5.152683957	5.588426324	5.919219834
0.352	4.442284245	5.171996243	5.607922031	5.938741927
0.353	4.46070429	5.191311339	5.627418266	5.958264049
0.354	4.479133649	5.210629207	5.64691502	5.977786199
0.355	4.497572243	5.229949811	5.666412281	5.997308375
0.356	4.516019994	5.249273113	5.685910042	6.016830578
0.357	4.534476825	5.268599078	5.705408291	6.036352806
0.358	4.552942659	5.28792767	5.72490702	6.055875059
0.359	4.57141742	5.307258855	5.744406218	6.075397335
0.36	4.589901033	5.326592598	5.763905878	6.094919635
0.361	4.608393423	5.345928864	5.78340599	6.114441958
0.362	4.626894515	5.36526762	5.802906546	6.133964302
0.363	4.645404238	5.384608833	5.822407536	6.153486668
0.364	4.663922516	5.40395247	5.841908953	6.173009054
0.365	4.682449279	5.423298499	5.861410788	6.19253146
0.366	4.700984455	5.442646888	5.880913033	6.212053886
0.367	4.719527972	5.461997605	5.900415681	6.23157633
0.368	4.738079761	5.48135062	5.919918723	6.251098793
0.369	4.756639751	5.500705901	5.939422152	6.270621274
0.37	4.775207873	5.520063419	5.95892596	6.290143772
0.371	4.793784058	5.539423144	5.978430141	6.309666287
0.372	4.812368239	5.558785046	5.997934686	6.329188819
0.373	4.830960348	5.578149096	6.017439589	6.348711366
0.374	4.849560317	5.597515266	6.036944843	6.368233928
0.375	4.868168081	5.616883528	6.056450441	6.387756506
0.376	4.886783574	5.636253853	6.075956377	6.407279097
0.377	4.90540673	5.655626214	6.095462644	6.426801703
0.378	4.924037485	5.675000584	6.114969235	6.446324323
0.379	4.942675774	5.694376936	6.134476145	6.465846956
0.38	4.961321535	5.713755244	6.153983367	6.485369602
0.381	4.979974703	5.733135481	6.173490895	6.50489226
0.382	4.998635216	5.752517623	6.192998723	6.524414931
0.383	5.017303013	5.771901643	6.212506846	6.543937613
0.384	5.035978032	5.791287516	6.232015257	6.563460307
0.385	5.054660212	5.810675218	6.251523952	6.582983012
0.386	5.073349491	5.830064725	6.271032924	6.602505727
0.387	5.092045812	5.849456012	6.290542169	6.622028453
