t	w1	w2	w3	w4
0	0	0	0	0
0.001	0.000337297	0.000519997	0.000730984	0.001043397
0.002	2.34E-03	0.003607647	0.005070764	0.007236506
0.003	7.23E-03	0.011136049	0.015648179	0.022322686
0.004	0.015806996	0.024352951	0.034208091	0.048773206
0.005	0.028585902	0.044023701	0.061811627	0.088071607
0.006	0.045828485	0.070545559	0.098996942	0.140943366
0.007	0.067622901	0.104038767	0.145907776	0.207540633
0.008	0.093926169	0.144418762	0.202395804	0.287590139
0.009	0.124600754	0.191453153	0.268101672	0.38051098
0.01	0.159443161	0.244806385	0.342518778	0.48550781
0.011	0.198206122	0.304074509	0.425043088	0.601644033
0.012	0.240615656	0.368811998	0.515011707	0.72789876
0.013	0.286384041	0.438552217	0.611732415	0.863210637
0.014	0.335219558	0.512822822	0.714505968	1.006511109
0.015	0.38683366	0.591157143	0.822642648	1.156749202
0.016	0.440946134	0.673102411	0.935474247	1.312909545
0.017	0.497288693	0.758225483	1.052362453	1.474025037
0.018	0.555607345	0.846116651	1.172704429	1.639185286
0.019	0.615663824	0.936391947	1.29593622	1.807541766
0.02	0.677236313	1.028694313	1.421534476	1.978310424
0.021	0.740119631	1.12269392	1.549016925	2.15077235
0.022	0.804125028	1.21808784	1.677941898	2.324273002
0.023	0.869079698	1.314599275	1.807907175	2.498220358
0.024	0.934826094	1.41197646	1.938548348	2.672082324
0.025	1.001221123	1.509991348	2.069536865	2.845383619
0.026	1.068135252	1.608438179	2.200577873	3.017702345
0.027	1.135451588	1.707131972	2.331407962	3.188666382
0.028	1.203064937	1.805907007	2.461792867	3.357949725
0.029	1.270880891	1.904615321	2.591525201	3.525268836
0.03	1.338814928	2.003125243	2.720422243	3.690379093
0.031	1.406791563	2.101319999	2.848323809	3.853071366
0.032	1.474743535	2.199096382	2.975090242	4.013168756
0.033	1.542611055	2.296363504	3.100600502	4.17052352
0.034	1.610341091	2.393041633	3.224750394	4.325014186
0.035	1.677886723	2.48906111	3.347450918	4.476542874
0.036	1.745206534	2.584361356	3.468626737	4.625032809
0.037	1.812264061	2.678889952	3.58821478	4.770426035
0.038	1.879027289	2.772601806	3.706162949	4.912681318
0.039	1.94546819	2.865458388	3.822428949	5.051772226
0.04	2.01156231	2.957427032	3.936979218	5.187685386
0.041	2.077288383	3.048480309	4.049787954	5.320418895
0.042	2.142627997	3.138595459	4.160836238	5.449980892
0.043	2.207565284	3.227753871	4.270111239	5.576388254
0.044	2.272086638	3.315940627	4.377605502	5.69966544
0.045	2.336180471	3.403144076	4.483316298	5.819843434
0.046	2.399836989	3.48935547	4.587245053	5.936958813
0.047	2.463047988	3.574568619	4.689396822	6.051052905
0.048	2.525806678	3.658779596	4.789779833	6.16217104
0.049	2.588107522	3.741986469	4.888405064	6.270361886
0.05	2.64994609	3.824189054	4.985285878	6.375676851
0.051	2.711318937	3.905388708	5.080437694	6.478169566
0.052	2.772223482	3.985588136	5.173877689	6.577895414
0.053	2.832657913	4.064791218	5.265624538	6.674911126
0.054	2.892621093	4.14300286	5.355698185	6.769274416
0.055	2.952112479	4.220228859	5.444119635	6.86104367
0.056	3.011132054	4.296475786	5.530910773	6.950277665
0.057	3.069680262	4.371750873	5.616094202	7.037035331
0.058	3.127757949	4.446061926	5.699693101	7.121375538
0.059	3.185366318	4.519417239	5.781731103	7.203356919
0.06	3.242506879	4.591825519	5.86223218	7.28303771
0.061	3.299181417	4.663295821	5.941220549	7.360475618
0.062	3.355391949	4.733837494	6.018720588	7.435727704
0.063	3.411140699	4.803460123	6.094756757	7.508850289
0.064	3.466430068	4.872173492	6.169353538	7.579898872
0.065	3.521262612	4.939987537	6.242535378	7.648928061
0.066	3.575641017	5.006912316	6.314326635	7.715991519
0.067	3.629568085	5.072957976	6.384751543	7.781141918
0.068	3.683046713	5.138134729	6.453834166	7.844430904
0.069	3.736079881	5.202452823	6.521598376	7.90590907
0.07	3.788670635	5.265922526	6.58806782	7.965625936
0.071	3.840822083	5.328554106	6.653265897	8.023629933
0.072	3.892537377	5.390357815	6.717215741	8.079968398
0.073	3.943819708	5.451343874	6.779940204	8.134687568
0.074	3.994672297	5.511522466	6.841461842	8.187832581
0.075	4.045098391	5.570903719	6.901802904	8.239447481
0.076	4.095101251	5.6294977	6.960985323	8.289575224
0.077	4.144684153	5.687314408	7.019030709	8.338257686
0.078	4.193850377	5.744363768	7.075960343	8.385535681
0.079	4.24260321	5.80065562	7.131795174	8.431448965
0.08	4.290945935	5.856199722	7.186555817	8.476036263
0.081	4.338881835	5.911005739	7.24026255	8.519335274
0.082	4.386414183	5.965083243	7.292935311	8.561382698
0.083	4.433546245	6.01844171	7.344593706	8.602214249
0.084	4.480281276	6.071090517	7.395256999	8.641864676
0.085	4.526622518	6.12303894	7.444944124	8.680367782
0.086	4.572573199	6.174296153	7.49367368	8.717756448
0.087	4.618136531	6.224871227	7.541463938	8.754062646
0.088	4.663315707	6.274773127	7.588332839	8.789317465
0.089	4.708113905	6.324010716	7.634298004	8.823551132
0.09	4.752534282	6.37259275	7.67937673	8.856793029
0.091	4.796579976	6.42052788	7.723586002	8.889071715
0.092	4.840254105	6.467824652	7.76694249	8.920414948
0.093	4.883559766	6.514491509	7.809462555	8.950849704
0.094	4.926500033	6.560536785	7.851162258	8.980402196
0.095	4.969077961	6.605968714	7.892057357	9.009097894
0.096	5.01129658	6.650795425	7.932163317	9.036961547
0.097	5.053158901	6.695024944	7.971495313	9.064017197
0.098	5.094667909	6.738665194	8.010068235	9.090288203
0.099	5.135826569	6.781723998	8.04789669	9.115797257
0.1	5.176637823	6.824209078	8.084995009	9.140566402
0.101	5.217104587	6.866128056	8.121377254	9.16461705
0.102	5.257229759	6.907488456	8.157057217	9.187969998
0.103	5.29701621	6.948297704	8.19204843	9.210645447
0.104	5.336466791	6.98856313	8.226364165	9.23266302
0.105	5.375584328	7.028291966	8.260017443	9.254041771
0.106	5.414371625	7.067491351	8.293021034	9.274800209
0.107	5.452831464	7.106168332	8.325387466	9.294956309
0.108	5.490966604	7.14432986	8.357129027	9.314527529
0.109	5.52877978	7.181982798	8.388257768	9.33353082
0.11	5.566273707	7.219133916	8.41878551	9.351982649
0.111	5.603451075	7.255789895	8.448723847	9.369899002
0.112	5.640314555	7.29195733	8.478084151	9.387295408
0.113	5.676866792	7.327642726	8.506877575	9.404186944
0.114	5.713110413	7.362852505	8.535115058	9.420588253
0.115	5.749048019	7.397593	8.562807329	9.436513553
0.116	5.784682194	7.431870463	8.589964908	9.451976651
0.117	5.820015497	7.465691064	8.616598117	9.466990955
0.118	5.855050467	7.499060888	8.642717075	9.481569486
0.119	5.889789621	7.531985941	8.668331709	9.495724885
0.12	5.924235455	7.564472149	8.693451754	9.509469428
0.121	5.958390446	7.59652536	8.718086757	9.522815037
0.122	5.992257047	7.628151343	8.742246081	9.535773288
0.123	6.025837694	7.659355792	8.765938909	9.548355419
0.124	6.059134799	7.690144323	8.789174247	9.560572345
0.125	6.092150757	7.72052248	8.811960928	9.572434665
0.126	6.124887939	7.75049573	8.834307612	9.583952668
0.127	6.157348701	7.780069471	8.856222795	9.595136346
0.128	6.189535374	7.809249026	8.877714808	9.605995403
0.129	6.221450274	7.838039648	8.898791821	9.616539259
0.13	6.253095695	7.866446522	8.919461846	9.626777063
0.131	6.284473911	7.894474762	8.939732742	9.636717695
0.132	6.315587178	7.922129413	8.959612214	9.646369783
0.133	6.346437734	7.949415456	8.979107821	9.655741699
0.134	6.377027797	7.976337802	8.998226974	9.664841576
0.135	6.407359565	8.0029013	9.016976942	9.67367731
0.136	6.437435219	8.029110733	9.035364854	9.682256567
0.137	6.467256923	8.054970818	9.0533977	9.690586792
0.138	6.49682682	8.080486213	9.071082336	9.698675212
0.139	6.526147036	8.105661512	9.088425485	9.706528847
0.14	6.555219679	8.130501248	9.105433742	9.714154511
0.141	6.58404684	8.155009892	9.122113574	9.721558821
0.142	6.612630592	8.17919186	9.13847132	9.728748202
0.143	6.640972989	8.203051503	9.154513202	9.735728893
0.144	6.669076069	8.22659312	9.170245318	9.742506951
0.145	6.696941854	8.249820948	9.185673649	9.749088259
0.146	6.724572347	8.27273917	9.200804061	9.755478526
0.147	6.751969534	8.295351913	9.215642307	9.761683299
0.148	6.779135385	8.317663248	9.230194029	9.767707961
0.149	6.806071854	8.339677194	9.244464759	9.773557742
0.15	6.832780878	8.361397713	9.258459924	9.779237716
0.151	6.859264377	8.382828717	9.272184843	9.784752814
0.152	6.885524255	8.403974065	9.285644736	9.79010782
0.153	6.9115624	8.424837564	9.29884472	9.795307383
0.154	6.937380686	8.445422971	9.311789813	9.800356013
0.155	6.962980967	8.465733993	9.324484939	9.805258093
0.156	6.988365085	8.485774287	9.336934923	9.810017877
0.157	7.013534866	8.505547461	9.349144499	9.814639494
0.158	7.038492118	8.525057077	9.361118309	9.819126955
0.159	7.063238637	8.544306646	9.372860907	9.823484155
0.16	7.087776202	8.563299636	9.384376756	9.827714875
0.161	7.112106576	8.582039466	9.395670235	9.831822786
0.162	7.136231511	8.600529511	9.406745638	9.835811454
0.163	7.16015274	8.6187731	9.417607177	9.839684338
0.164	7.183871983	8.636773517	9.42825898	9.843444802
0.165	7.207390946	8.654534005	9.438705097	9.847096106
0.166	7.230711321	8.672057761	9.448949502	9.850641422
0.167	7.253834783	8.689347941	9.458996087	9.854083824
0.168	7.276762995	8.706407658	9.468848674	9.8574263
0.169	7.299497607	8.723239984	9.478511009	9.860671752
0.17	7.322040253	8.73984795	9.487986765	9.863822994
0.171	7.344392554	8.756234546	9.497279545	9.866882763
0.172	7.366556116	8.772402723	9.506392882	9.869853713
0.173	7.388532534	8.788355393	9.515330241	9.872738423
0.174	7.410323389	8.804095428	9.524095021	9.875539395
0.175	7.431930246	8.819625661	9.532690553	9.878259062
0.176	7.453354659	8.83494889	9.541120107	9.880899781
0.177	7.47459817	8.850067875	9.549386887	9.883463847
0.178	7.495662304	8.864985336	9.557494035	9.885953483
0.179	7.516548578	8.87970396	9.565444636	9.88837085
0.18	7.537258493	8.894226399	9.573241711	9.890718045
0.181	7.557793538	8.908555265	9.580888226	9.892997107
0.182	7.578155189	8.922693141	9.588387086	9.895210012
0.183	7.598344911	8.936642571	9.595741145	9.897358681
0.184	7.618364155	8.950406067	9.602953197	9.899444979
0.185	7.638214361	8.963986108	9.610025985	9.901470716
0.186	7.657896956	8.977385139	9.616962199	9.90343765
0.187	7.677413356	8.990605573	9.623764474	9.905347488
0.188	7.696764964	9.00364979	9.630435399	9.907201887
0.189	7.71595317	9.016520139	9.636977508	9.909002457
