t	I1	I2	I3	I4
0	0	0	0	0
0.001	0.142657655	0.14364288	0.14478065	0.146465363
0.002	0.515430793	0.518993023	0.523104417	0.529187526
0.003	1.046354683	1.053498579	1.061736799	1.073912087
0.004	1.679769665	1.690890083	1.703698395	1.722597224
0.005	2.373036598	2.387945916	2.405089515	2.43032871
0.006	3.09387689	3.111862799	3.132496973	3.162782637
0.007	3.818222107	3.838121939	3.860880119	3.894142447
0.008	4.528478929	4.5487608	4.571850962	4.605392396
0.009	5.212132299	5.230976454	5.252278005	5.282922542
0.01	5.860623589	5.87599969	5.89315568	5.917391266
0.011	6.468452147	6.478189889	6.488691381	6.502800361
0.012	7.032458013	7.034309671	7.035570526	7.035745338
0.013	7.55125133	7.542945692	7.53236706	7.514809919
0.014	8.024760333	8.004048037	7.979072523	7.940078978
0.015	8.453874994	8.418565681	8.376721623	8.312748588
0.016	8.840167682	8.788159572	8.727096169	8.634815497
0.017	9.185675632	9.114978307	9.03249248	8.908831445
0.018	9.492732936	9.401484126	9.295540064	9.137710236
0.019	9.763842044	9.650319219	9.519061605	9.32457762
0.02	10.00157668	9.864204248	9.705966076	9.4726558
0.021	10.20850966	10.04586247	9.859168356	9.585175818
0.022	10.3871603	10.19796413	9.981529909	9.665312311
0.023	10.5399572	10.32308681	10.07581615	9.71613609
0.024	10.66921301	10.42368827	10.1446669	9.740580878
0.025	10.77710839	10.50208894	10.19057714	9.741421172
0.026	10.865683	10.56046186	10.21588557	9.721258802
0.027	10.93683195	10.60082828	10.22276934	9.682516194
0.028	10.99230599	10.62505748	10.21324324	9.627434757
0.029	11.03371477	10.63486965	10.18916231	9.558077098
0.03	11.06253204	10.63184104	10.15222691	9.476332046
0.031	11.08010219	10.61741057	10.10398943	9.383921676
0.032	11.08764775	10.59288746	10.04586214	9.28240968
0.033	11.08627726	10.55945938	9.97912573	9.173210596
0.034	11.07699344	10.51820089	9.904938152	9.057599486
0.035	11.0607012	10.47008186	9.824343552	8.93672179
0.036	11.03821559	10.41597575	9.73828106	8.811603105
0.037	11.01026936	10.35666759	9.647593337	8.683158742
0.038	10.97752017	10.29286165	9.55303475	8.552202934
0.039	10.94055743	10.22518858	9.455279131	8.419457606
0.04	10.89990861	10.1542122	9.354927073	8.285560673
0.041	10.85604515	10.08043581	9.25251274	8.151073814
0.042	10.80938793	10.00430794	9.148510189	8.01648972
0.043	10.76031224	9.926227795	9.043339215	7.882238813
0.044	10.70915238	9.846550089	8.937370718	7.748695453
