t	U1	U2	U3	U4
0	0	0	0	0
0.001	1.173955078	1.173955078	1.173955078	1.173955078
0.002	2.209955149	2.209955149	2.209955149	2.209955149
0.003	3.124211721	3.124211721	3.124211721	3.124211721
0.004	3.931031242	3.931031242	3.931031242	3.931031242
0.005	4.643038964	4.643038964	4.643038964	4.643038964
0.006	5.271376508	5.271376508	5.271376508	5.271376508
0.007	5.825876209	5.825876209	5.825876209	5.825876209
0.008	6.315214974	6.315214974	6.315214974	6.315214974
0.009	6.747050064	6.747050064	6.747050064	6.747050064
0.01	7.128138907	7.128138907	7.128138907	7.128138907
0.011	7.464444849	7.464444849	7.464444849	7.464444849
0.012	7.761230464	7.761230464	7.761230464	7.761230464
0.013	8.023139905	8.023139905	8.023139905	8.023139905
0.014	8.254271577	8.254271577	8.254271577	8.254271577
0.015	8.458242267	8.458242267	8.458242267	8.458242267
0.016	8.638243745	8.638243745	8.638243745	8.638243745
0.017	8.797092706	8.797092706	8.797092706	8.797092706
0.018	8.937274846	8.937274846	8.937274846	8.937274846
0.019	9.060983759	9.060983759	9.060983759	9.060983759
0.02	9.170155264	9.170155264	9.170155264	9.170155264
0.021	9.266497695	9.266497695	9.266497695	9.266497695
0.022	9.351518637	9.351518637	9.351518637	9.351518637
0.023	9.42654851	9.42654851	9.42654851	9.42654851
0.024	9.492761397	9.492761397	9.492761397	9.492761397
0.025	9.551193407	9.551193407	9.551193407	9.551193407
0.026	9.602758896	9.602758896	9.602758896	9.602758896
0.027	9.648264768	9.648264768	9.648264768	9.648264768
0.028	9.688423107	9.688423107	9.688423107	9.688423107
0.029	9.723862319	9.723862319	9.723862319	9.723862319
0.03	9.755136962	9.755136962	9.755136962	9.755136962
0.031	9.782736427	9.782736427	9.782736427	9.782736427
0.032	9.807092595	9.807092595	9.807092595	9.807092595
0.033	9.828586597	9.828586597	9.828586597	9.828586597
0.034	9.847554774	9.847554774	9.847554774	9.847554774
0.035	9.864293942	9.864293942	9.864293942	9.864293942
0.036	9.879066041	9.879066041	9.879066041	9.879066041
0.037	9.892102226	9.892102226	9.892102226	9.892102226
0.038	9.903606489	9.903606489	9.903606489	9.903606489
0.039	9.913758851	9.913758851	9.913758851	9.913758851
0.04	9.922718179	9.922718179	9.922718179	9.922718179
0.041	9.930624669	9.930624669	9.930624669	9.930624669
0.042	9.937602044	9.937602044	9.937602044	9.937602044
0.043	9.943759486	9.943759486	9.943759486	9.943759486
0.044	9.949193348	9.949193348	9.949193348	9.949193348
0.045	9.953988661	9.953988661	9.953988661	9.953988661
0.046	9.958220462	9.958220462	9.958220462	9.958220462
0.047	9.961954972	9.961954972	9.961954972	9.961954972
0.048	9.965250628	9.965250628	9.965250628	9.965250628
0.049	9.968159001	9.968159001	9.968159001	9.968159001
0.05	9.970725603	9.970725603	9.970725603	9.970725603
0.051	9.972990596	9.972990596	9.972990596	9.972990596
0.052	9.974989422	9.974989422	9.974989422	9.974989422
0.053	9.97675336	9.97675336	9.97675336	9.97675336
0.054	9.978310013	9.978310013	9.978310013	9.978310013
0.055	9.979683739	9.979683739	9.979683739	9.979683739
0.056	9.980896034	9.980896034	9.980896034	9.980896034
0.057	9.981965868	9.981965868	9.981965868	9.981965868
0.058	9.982909983	9.982909983	9.982909983	9.982909983
0.059	9.983743153	9.983743153	9.983743153	9.983743153
0.06	9.984478414	9.984478414	9.984478414	9.984478414
0.061	9.985127272	9.985127272	9.985127272	9.985127272
0.062	9.985699881	9.985699881	9.985699881	9.985699881
0.063	9.986205201	9.986205201	9.986205201	9.986205201
0.064	9.986651139	9.986651139	9.986651139	9.986651139
0.065	9.987044674	9.987044674	9.987044674	9.987044674
0.066	9.987391963	9.987391963	9.987391963	9.987391963
0.067	9.987698442	9.987698442	9.987698442	9.987698442
0.068	9.987968905	9.987968905	9.987968905	9.987968905
0.069	9.988207585	9.988207585	9.988207585	9.988207585
0.07	9.988418217	9.988418217	9.988418217	9.988418217
0.071	9.988604097	9.988604097	9.988604097	9.988604097
0.072	9.988768134	9.988768134	9.988768134	9.988768134
0.073	9.988912894	9.988912894	9.988912894	9.988912894
0.074	9.989040643	9.989040643	9.989040643	9.989040643
0.075	9.98915338	9.98915338	9.98915338	9.98915338
0.076	9.989252869	9.989252869	9.989252869	9.989252869
0.077	9.989340667	9.989340667	9.989340667	9.989340667
0.078	9.989418147	9.989418147	9.989418147	9.989418147
0.079	9.989486522	9.989486522	9.989486522	9.989486522
0.08	9.989546863	9.989546863	9.989546863	9.989546863
0.081	9.989600112	9.989600112	9.989600112	9.989600112
0.082	9.989647104	9.989647104	9.989647104	9.989647104
0.083	9.989688574	9.989688574	9.989688574	9.989688574
0.084	9.989725171	9.989725171	9.989725171	9.989725171
0.085	9.989757467	9.989757467	9.989757467	9.989757467
0.086	9.989785967	9.989785967	9.989785967	9.989785967
0.087	9.989811119	9.989811119	9.989811119	9.989811119
0.088	9.989833315	9.989833315	9.989833315	9.989833315
0.089	9.989852903	9.989852903	9.989852903	9.989852903
0.09	9.989870189	9.989870189	9.989870189	9.989870189
0.091	9.989885443	9.989885443	9.989885443	9.989885443
0.092	9.989898905	9.989898905	9.989898905	9.989898905
0.093	9.989910785	9.989910785	9.989910785	9.989910785
0.094	9.989921269	9.989921269	9.989921269	9.989921269
0.095	9.989930521	9.989930521	9.989930521	9.989930521
0.096	9.989938686	9.989938686	9.989938686	9.989938686
0.097	9.989945891	9.989945891	9.989945891	9.989945891
0.098	9.989952249	9.989952249	9.989952249	9.989952249
0.099	9.989957861	9.989957861	9.989957861	9.989957861
0.1	9.989962813	9.989962813	9.989962813	9.989962813
0.101	9.989967183	9.989967183	9.989967183	9.989967183
0.102	9.989971039	9.989971039	9.989971039	9.989971039
0.103	9.989974442	9.989974442	9.989974442	9.989974442
0.104	9.989977446	9.989977446	9.989977446	9.989977446
0.105	9.989980096	9.989980096	9.989980096	9.989980096
0.106	9.989982435	9.989982435	9.989982435	9.989982435
0.107	9.989984499	9.989984499	9.989984499	9.989984499
0.108	9.989986321	9.989986321	9.989986321	9.989986321
0.109	9.989987928	9.989987928	9.989987928	9.989987928
0.11	9.989989347	9.989989347	9.989989347	9.989989347
