t	alpha1	alpha2	alpha3	alpha4
0	0	0	0	0
0.001	-1.51E-05	-2.32E-05	-3.26E-05	-4.66E-05
0.002	-5.81E-05	-8.95E-05	-1.26E-04	-1.80E-04
0.003	-0.000124518	-0.000191848	-2.70E-04	-3.84E-04
0.004	-0.000207762	-0.000319948	-4.49E-04	-6.40E-04
0.005	-0.000299931	-0.000461592	-0.000647587	-9.22E-04
0.006	-0.000392374	-0.00060337	-0.000845697	-1.20E-03
0.007	-0.000476081	-0.000731333	-0.001023828	-1.45E-03
0.008	-0.00054199	-0.000831475	-1.16E-03	-1.65E-03
0.009	-0.000581208	-0.00089008	-1.24E-03	-0.001752116
0.01	-0.000585173	-0.000893974	-0.001243532	-0.001747397
0.011	-0.000545758	-8.31E-04	-0.001150551	-0.001606307
0.012	-0.000455342	-0.000688608	-0.000946503	-0.001306146
0.013	-0.000306854	-0.00045696	-0.000616528	-0.000826242
0.014	-9.38E-05	-0.000125915	-0.00014712	-0.000148009
0.015	0.000189804	0.000313443	0.000473865	0.000745059
0.016	0.000549297	0.000869135	0.001257242	0.001867427
0.017	0.000989544	0.00154831	0.00221254	0.003231603
0.018	0.00151488	0.002357294	0.003348069	0.004848227
0.019	0.00212916	0.003301631	0.004670986	0.006726192
0.02	0.002835789	0.00438614	0.006187375	0.008872761
0.021	0.003637751	0.005614961	0.007902324	0.011293691
0.022	0.004537645	0.006991611	0.009820005	0.013993358
0.023	0.005537716	0.008519038	0.011943752	0.016974883
0.024	0.006639882	0.010199665	0.014276135	0.020240248
0.025	0.007845768	0.012035443	0.016819031	0.023790412
0.026	0.00915673	0.01402789	0.019573695	0.027625417
0.027	0.010573881	0.016178141	0.022540819	0.031744487
0.028	0.012098116	0.018486978	0.025720596	0.036146128
0.029	0.013730132	0.020954873	0.029112772	0.040828208
0.03	0.015470451	0.02358202	0.032716696	0.045788044
0.031	0.017319436	0.026368361	0.036531367	0.051022468
0.032	0.019277308	0.02931362	0.040555478	0.056527899
0.033	0.021344164	0.032417326	0.044787451	0.062300404
