t	w1	w2	w3	w4
0	0	0	0	0
0.001	-0.015033901	-0.023173664	-0.032570686	-0.04647902
0.002	-0.028379806	-0.043726893	-0.06142829	-0.087595909
0.003	-0.038802453	-0.059742508	-0.08385699	-0.119430449
0.004	-0.04547368	-0.069936894	-0.098041317	-0.139368349
0.005	-0.047878821	-0.073515639	-0.102863177	-0.145811397
0.006	-0.045742068	-0.070058057	-0.097738794	-0.137943183
0.007	-0.038967208	-0.059425149	-0.08248824	-0.115540468
0.008	-0.027590755	-0.041686581	-0.057231493	-0.078822005
0.009	-0.011745085	-0.01706305	-0.022306065	-0.028327995
0.01	0.008370388	0.014118944	0.021797881	0.035175423
0.011	0.032511585	0.051462318	0.074488283	0.110771314
0.012	0.060406978	0.094526609	0.135110518	0.197450547
0.013	0.091770702	0.142848757	0.20297758	0.294157003
0.014	0.126312391	0.195958762	0.277392926	0.399821996
0.015	0.163744445	0.253391295	0.357667468	0.513390029
0.016	0.203787262	0.314694091	0.443131929	0.633837634
0.017	0.246172888	0.379433836	0.533145544	0.760186721
0.018	0.290647439	0.447200092	0.627101898	0.891513597
0.019	0.336972571	0.517607707	0.724432545	1.026954595
0.02	0.384926238	0.59029807	0.824608914	1.165709089
0.021	0.434302904	0.664939499	0.927142931	1.307040499
0.022	0.484913365	0.741226976	1.031586665	1.450275792
0.023	0.536584277	0.818881419	1.137531279	1.594803871
0.024	0.589157492	0.897648626	1.244605479	1.74007317
0.025	0.642489259	0.977297995	1.352473629	1.885588707
0.026	0.696449346	1.057621121	1.460833651	2.030908781
0.027	0.750920125	1.138430307	1.569414819	2.175641475
0.028	0.805795645	1.219557068	1.6779755	2.319441082
0.029	0.860980715	1.300850638	1.78630092	2.462004533
0.03	0.916390018	1.382176527	1.894200978	2.603067901
0.031	0.971947258	1.463415124	2.001508145	2.742403024
0.032	1.02758436	1.544460386	2.10807546	2.879814282
0.033	1.083240709	1.625218591	2.213774648	3.015135549
0.034	1.138862449	1.705607182	2.31849435	3.148227336
0.035	1.194401832	1.785553689	2.422138486	3.278974117
0.036	1.249816613	1.864994743	2.524624733	3.407281868
0.037	1.305069501	1.943875153	2.625883127	3.533075777
0.038	1.360127657	2.022147081	2.725854781	3.656298157
0.039	1.414962232	2.099769273	2.824490716	3.77690653
0.04	1.469547952	2.176706369	2.921750789	3.894871878
0.041	1.52386274	2.252928275	3.017602729	4.010177058
0.042	1.577887372	2.328409592	3.112021259	4.122815364
0.043	1.631605176	2.403129103	3.204987297	4.232789224
0.044	1.685001748	2.477069311	3.296487247	4.340109035
0.045	1.738064706	2.550216021	3.38651235	4.444792103
0.046	1.790783468	2.622557968	3.47505811	4.546861699
0.047	1.843149047	2.694086479	3.56212377	4.646346215
0.048	1.895153878	2.764795173	3.647711848	4.743278404
0.049	1.946791652	2.834679695	3.731827725	4.837694707
0.05	1.998057176	2.903737471	3.814479267	4.929634652
0.051	2.048946247	2.971967498	3.895676499	5.019140322
0.052	2.099455531	3.039370148	3.975431307	5.106255882
0.053	2.14958247	3.105947002	4.053757175	5.191027161
0.054	2.199325187	3.171700697	4.130668954	5.273501286
0.055	2.248682406	3.23663479	4.206182653	5.353726354
0.056	2.297653381	3.30075364	4.280315256	5.43175115
0.057	2.346237834	3.364062297	4.353084558	5.507624897
0.058	2.394435896	3.426566415	4.424509026	5.581397042
0.059	2.442248058	3.488272163	4.494607664	5.653117059
0.06	2.48967513	3.54918615	4.563399911	5.722834294
0.061	2.536718194	3.609315365	4.630905533	5.790597817
0.062	2.583378577	3.668667113	4.697144545	5.856456304
0.063	2.629657817	3.727248967	4.762137128	5.920457931
0.064	2.675557635	3.785068721	4.825903567	5.982650289
0.065	2.721079909	3.842134352	4.888464191	6.043080306
0.066	2.766226659	3.898453982	4.949839322	6.101794186
0.067	2.81100002	3.95403585	5.010049233	6.158837361
0.068	2.855402234	4.008888283	5.069114108	6.214254444
0.069	2.899435625	4.063019669	5.127054008	6.268089199
0.07	2.943102596	4.116438444	5.183888846	6.320384515
0.071	2.98640561	4.169153065	5.239638358	6.371182386
0.072	3.029347184	4.221171998	5.294322086	6.420523896
0.073	3.071929879	4.272503704	5.347959361	6.468449211
0.074	3.11415629	4.323156627	5.400569281	6.514997577
0.075	3.156029043	4.373139178	5.452170709	6.560207311
0.076	3.197550784	4.422459734	5.502782255	6.604115813
0.077	3.23872418	4.471126624	5.552422269	6.646759563
0.078	3.279551906	4.519148124	5.601108839	6.688174134
0.079	3.320036649	4.566532451	5.648859778	6.728394196
0.08	3.360181099	4.613287756	5.695692627	6.767453531
0.081	3.399987948	4.659422123	5.741624651	6.805385043
0.082	3.439459884	4.704943562	5.786672832	6.842220774
0.083	3.478599596	4.749860009	5.830853876	6.877991916
0.084	3.517409762	4.794179321	5.874184206	6.912728825
0.085	3.555893055	4.837909274	5.916679966	6.946461043
0.086	3.594052137	4.881057562	5.958357022	6.979217308
0.087	3.63188966	4.923631795	5.999230962	7.011025574
0.088	3.669408263	4.965639499	6.039317099	7.041913027
0.089	3.706610572	5.007088114	6.078630474	7.071906102
0.09	3.743499199	5.047984995	6.117185857	7.101030502
0.091	3.780076739	5.088337408	6.15499775	7.129311214
0.092	3.816345773	5.128152534	6.192080391	7.156772526
0.093	3.852308866	5.167437468	6.228447758	7.183438044
0.094	3.887968564	5.206199217	6.26411357	7.209330711
0.095	3.923327399	5.244444701	6.299091292	7.234472822
0.096	3.958387881	5.282180756	6.33339414	7.258886039
0.097	3.993152507	5.319414131	6.367035081	7.282591414
