t	I1	I2	I3	I4	i5
0	0	0	0	0	0
0.001	0.149746115	0.148285903	0.147236953	0.14644701	0.144931377
0.002	0.541685842	0.536308223	0.53244388	0.529533004	0.523946285
0.003	1.100812912	1.089746133	1.081789749	1.075794368	1.064282611
0.004	1.768605846	1.750743964	1.73789378	1.728206074	1.709593359
0.005	2.499840133	2.474690279	2.456581377	2.442920523	2.41665356
0.006	3.259978636	3.227589202	3.204242236	3.186615972	3.152690735
0.007	4.023039129	3.983918887	3.955682639	3.93434436	3.893224614
0.008	4.769855157	4.724890246	4.69238288	4.667787879	4.620322348
0.009	5.486660744	5.437034214	5.401086482	5.373849716	5.321192353
0.01	6.163941473	6.111058351	6.072660794	6.043517697	5.98705383
0.011	6.79550432	6.74092394	6.701179292	6.67095048	6.612230412
0.012	7.377726925	7.323103382	7.283184731	7.252745004	7.193425763
0.013	7.908953788	7.855984738	7.817099572	7.7873513	7.729146671
0.014	8.389012565	8.339396186	8.302756177	8.274606933	8.219245485
0.015	8.818828362	8.774227993	8.741024167	8.71536834	8.664558922
0.016	9.2001178	9.162133637	9.133516461	9.111220508	9.066624548
0.017	9.535147874	9.505294986	9.48235887	9.464249814	9.427459678
0.018	9.826547294	9.806239214	9.79001089	9.776867664	9.749390326
0.019	10.07716022	10.06769736	10.0591276	10.05167486	10.03492015
0.02	10.28993408	10.29249627	10.29245448	10.29135849	10.2866312
0.021	10.46783481	10.48347727	10.49274842	10.49861472	10.50711001
0.022	10.6137838	10.64343599	10.66271959	10.67609209	10.69889348
0.023	10.73061229	10.77507906	10.80498968	10.82635088	10.86443049
0.024	10.82102941	10.88099396	10.92206303	10.95183527	11.00605572
0.025	10.88760087	10.96362917	11.01630779	11.05485512	11.12597275
0.026	10.93273606	11.02528235	11.08994479	11.13757541	11.2262446
0.027	10.95868152	11.06809451	11.14504229	11.20201144	11.30878949
0.028	10.96751923	11.09404888	11.18351519	11.25002821	11.37538088
0.029	10.96116857	11.10497313	11.20712744	11.28334308	11.42765032
0.03	10.94139084	11.10254404	11.21749689	11.30353061	11.46709249
0.031	10.90979571	11.08829395	11.21610165	11.31202899	11.49507164
0.032	10.8678489	11.06361828	11.20428758	11.3101475	11.51282898
0.033	10.81688061	11.02978379	11.18327645	11.29907451	11.52149053
0.034	10.75809437	10.98793718	11.15417432	11.27988579	11.52207521
0.035	10.69257603	10.93911373	11.11798003	11.25355287	11.51550297
0.036	10.62130272	10.88424593	11.07559354	11.2209512	11.50260269
0.037	10.54515147	10.82417175	11.02782404	11.18286808	11.4841198
0.038	10.46490765	10.75964266	10.97539767	11.14001025	11.46072355
0.039	10.38127283	10.69133121	10.91896487	11.09301106	11.43301391
0.04	10.29487238	10.61983812	10.85910726	11.04243714	11.40152793
0.041	10.20626239	10.54569898	10.79634405	10.98879467	11.36674573
0.042	10.11593629	10.4693904	10.731138	10.93253522	11.329096
0.043	10.02433082	10.39133574	10.66390091	10.87406101	11.28896109
0.044	9.931831664	10.31191035	10.59499868	10.81372987	11.24668161
0.045	9.838778511	10.2314464	10.5247559	10.7518597	11.20256073
0.046	9.745469762	10.15023724	10.45346007	10.68873254	11.15686798
0.047	9.65216678	10.06854143	10.38136545	10.62459831	11.10984277
0.048	9.559097765	9.986586376	10.30869651	10.55967812	11.06169757
0.049	9.466461276	9.904571598	10.23565108	10.49416738	11.01262074
0.05	9.374429408	9.822671719	10.1624032	10.42823849	10.96277914
0.051	9.283150664	9.741039149	10.08910566	10.36204334	10.91232043
0.052	9.192752554	9.659806498	10.01589232	10.29571553	10.86137517
