t	alpha1	alpha2	alpha3	alpha4	alpha5
0	0	0	0	0	0
0.001	-7.37E-05	-6.16E-05	-5.30E-05	-4.64E-05	-3.39E-05
0.002	-2.89E-04	-2.42E-04	-2.08E-04	-1.82E-04	-0.000133061
0.003	-6.35E-04	-5.31E-04	-4.57E-04	-4.00E-04	-0.000292321
0.004	-1.09E-03	-9.16E-04	-7.87E-04	-6.90E-04	-0.000504114
0.005	-0.001646297	-0.001378058	-0.001184971	-0.001039341	-0.000759399
0.006	-0.002268702	-0.001900014	-0.001634387	-0.001433918	-0.001048248
0.007	-0.002938336	-0.002462288	-0.002118957	-0.00185965	-0.001360312
0.008	-0.003631826	-0.003045512	-0.002622149	-0.002302116	-0.001685168
0.009	-0.00432628	-0.003630695	-0.00312774	-0.00274716	-0.002012574
0.01	-0.004999716	-0.004199576	-0.003620117	-0.003181148	-0.002332653
0.011	-0.005631351	-0.004734865	-0.00408448	-0.003591142	-0.002636019
0.012	-0.006201802	-0.005220398	-0.004506969	-0.003965017	-0.002913853
0.013	-0.006693192	-0.005641231	-0.00487475	-0.004291525	-0.003157956
0.014	-0.007089208	-0.00598368	-0.005176044	-0.004560328	-0.00336077
0.015	-0.007375102	-0.006235332	-0.005400136	-0.004762004	-0.003515376
0.016	-0.007537669	-0.006385016	-0.005537353	-0.004888026	-0.003615489
0.017	-0.007565192	-0.006422766	-0.005579031	-0.004930734	-0.003655431
0.018	-0.007447373	-0.006339764	-0.00551747	-0.004883298	-0.003630108
0.019	-0.007175255	-0.006128276	-0.005345876	-0.004739668	-0.003534973
0.02	-0.00674113	-0.00578158	-0.005058307	-0.004494523	-0.003365994
0.021	-0.006138456	-0.005293897	-0.004649608	-0.004143224	-0.003119613
0.022	-0.00536176	-0.004660316	-0.004115355	-0.003681759	-0.002792716
0.023	-0.004406551	-0.003876723	-0.003451793	-0.003106689	-0.002382594
0.024	-0.003269234	-0.002939731	-0.002655777	-0.002415104	-0.001886907
0.025	-0.001947022	-0.001846614	-0.00172472	-0.001604575	-0.001303653
0.026	-0.000437866	-0.000595245	-0.000656537	-0.000673104	-0.000631138
0.027	0.001259629	0.000815966	0.0005504	0.000380913	0.000132057
0.028	0.003146263	0.002388121	0.001897311	0.001558724	0.000987099
0.029	0.005222315	0.004121892	0.003385049	0.002861261	0.00193493
0.03	0.007487595	0.006017564	0.005014137	0.004289172	0.002976289
