t	w1	w2	w3	w4	w5
0	0	0	0	0	0
0.001	-0.074418929	-0.062226044	-0.053465569	-0.046867325	-0.034205326
0.002	-0.144494649	-0.12085693	-0.103864626	-0.091061433	-0.066480449
0.003	-0.207037243	-0.17325337	-0.148946751	-0.130621065	-0.095410011
0.004	-0.25990002	-0.217639388	-0.187197788	-0.164226738	-0.120041995
0.005	-0.301746664	-0.252908131	-0.217673307	-0.191054979	-0.139781658
0.006	-0.331863732	-0.278465935	-0.239865144	-0.210661674	-0.154306862
0.007	-0.350010232	-0.294107565	-0.253594834	-0.222889064	-0.163500775
0.008	-0.356297482	-0.299916855	-0.258928899	-0.227791924	-0.167398591
0.009	-0.351093637	-0.296187952	-0.256111843	-0.225579252	-0.166145562
0.01	-0.33494826	-0.283363283	-0.245513469	-0.216568497	-0.159964156
0.011	-0.30853316	-0.261985022	-0.227587752	-0.201149873	-0.149128518
0.012	-0.272596362	-0.232657439	-0.202840993	-0.179758779	-0.133944792
0.013	-0.227926675	-0.196018006	-0.171807435	-0.152854704	-0.114736117
0.014	-0.175326754	-0.152715489	-0.135030814	-0.120905298	-0.091831336
0.015	-0.115592966	-0.103393631	-0.093050641	-0.084374554	-0.065556643
0.016	-0.049500649	-0.048679244	-0.046392237	-0.043714229	-0.03622955
0.017	0.022206335	0.010826201	0.004440305	0.000642189	-0.004154659
0.018	0.098822711	0.074552263	0.058968848	0.048283533	0.030379156
0.019	0.179686268	0.141963092	0.116744165	0.098823467	0.067100481
0.02	0.264180324	0.212559371	0.177347525	0.151901827	0.105756274
0.021	0.351734656	0.285879011	0.240391248	0.207185078	0.146112148
0.022	0.441825275	0.361496935	0.305518492	0.264366113	0.1879522
0.023	0.533973347	0.439024175	0.372402477	0.323163563	0.23107851
0.024	0.627743521	0.518106501	0.440745322	0.383320792	0.275310406
0.025	0.722741829	0.598422716	0.510276601	0.444604643	0.320483576
0.026	0.818613335	0.67968275	0.580751751	0.506804063	0.366449082
0.027	0.915039619	0.761625642	0.651950368	0.569728642	0.413072337
0.028	1.011736207	0.844017472	0.723674488	0.633207128	0.460232053
0.029	1.108450004	0.926649301	0.795746868	0.697085956	0.507819209
0.03	1.204956771	1.009335167	0.868009311	0.761227811	0.555736047
0.031	1.301058701	1.09191014	0.940321052	0.82551025	0.603895108
0.032	1.396582095	1.17422848	1.012557233	0.889824391	0.652218315
0.033	1.49137517	1.256161896	1.084607449	0.954073678	0.700636118
0.034	1.585306006	1.337597912	1.156374403	1.01817273	0.749086691
0.035	1.678260626	1.418438351	1.227772649	1.082046269	0.797515193
0.036	1.770141222	1.49859793	1.29872743	1.14562813	0.845873076
0.037	1.860864517	1.578002967	1.369173612	1.208860354	0.894117465
0.038	1.950360264	1.656590196	1.439054704	1.271692355	0.942210577
0.039	2.038569865	1.734305679	1.508321961	1.334080157	0.9901192
0.04	2.125445124	1.811103821	1.576933576	1.395985707	1.037814214
0.041	2.210947101	1.886946471	1.644853938	1.457376241	1.085270163
0.042	2.295045081	1.96180211	1.712052962	1.518223725	1.132464863
0.043	2.377715634	2.035645114	1.778505486	1.578504335	1.179379049
0.044	2.458941778	2.108455093	1.844190724	1.638197995	1.225996059
0.045	2.538712211	2.180216288	1.909091779	1.697287966	1.27230155
0.046	2.617020633	2.250917042	1.973195195	1.755760466	1.318283238
0.047	2.693865125	2.320549311	2.036490569	1.813604339	1.363930674
0.048	2.769247608	2.389108232	2.098970188	1.87081075	1.409235033
0.049	2.843173343	2.456591742	2.160628718	1.927372922	1.454188937
0.05	2.915650495	2.523000227	2.221462918	1.983285889	1.498786282
0.051	2.98668974	2.588336213	2.281471385	2.038546287	1.543022099
0.052	3.056303917	2.652604097	2.340654329	2.093152159	1.586892421
0.053	3.124507715	2.715809894	2.399013372	2.147102786	1.630394163
0.054	3.191317397	2.777961022	2.456551368	2.200398535	1.673525024
0.055	3.256750558	2.839066111	2.513272244	2.253040722	1.716283391
0.056	3.320825905	2.899134828	2.569180858	2.305031494	1.758668259
0.057	3.383563066	2.958177723	2.624282873	2.356373721	1.800679157
0.058	3.44498242	3.016206098	2.678584646	2.407070904	1.842316081
0.059	3.505104951	3.073231884	2.732093127	2.457127086	1.883579443
0.06	3.563952108	3.129267535	2.784815774	2.506546782	1.924470014
0.061	3.621545701	3.184325938	2.836760475	2.555334909	1.96498888
0.062	3.677907788	3.238420328	2.887935477	2.603496733	2.005137404
0.063	3.733060595	3.291564216	2.938349329	2.651037811	2.044917188
0.064	3.787026431	3.343771323	2.988010826	2.697963951	2.084330045
0.065	3.839827627	3.395055528	3.036928963	2.744281168	2.123377968
0.066	3.891486473	3.445430819	3.085112893	2.789995649	2.162063106
0.067	3.942025167	3.494911243	3.132571891	2.835113725	2.200387742
0.068	3.991465775	3.543510878	3.179315321	2.879641836	2.238354277
0.069	4.039830187	3.591243793	3.22535261	2.923586515	2.275965208
0.07	4.087140091	3.638124023	3.27069322	2.966954361	2.313223118
0.071	4.13341694	3.684165543	3.315346631	3.009752023	2.350130657
0.072	4.178681932	3.729382246	3.359322317	3.051986181	2.386690536
0.073	4.22295599	3.773787928	3.402629733	3.093663534	2.422905514
0.074	4.266259745	3.817396268	3.445278301	3.134790787	2.458778388
0.075	4.308613524	3.860220816	3.487277396	3.175374637	2.494311988
0.076	4.350037336	3.902274982	3.528636335	3.215421769	2.529509166
0.077	4.390550867	3.943572027	3.56936437	3.254938841	2.564372793
0.078	4.430173473	3.984125053	3.609470678	3.293932481	2.598905754
0.079	4.468924174	4.023946998	3.648964354	3.332409281	2.633110939
0.08	4.506821649	4.063050628	3.687854408	3.370375789	2.666991244
0.081	4.543884238	4.101448537	3.726149759	3.407838506	2.700549562
0.082	4.58012994	4.139153139	3.763859228	3.444803881	2.733788787
0.083	4.61557641	4.176176668	3.800991538	3.481278309	2.766711802
0.084	4.650240963	4.212531176	3.837555311	3.517268125	2.799321485
0.085	4.684140575	4.248228531	3.873559066	3.552779608	2.831620701
0.086	4.717291887	4.283280415	3.909011213	3.58781897	2.863612305
0.087	4.749711203	4.317698327	3.943920058	3.622392363	2.895299135
0.088	4.781414498	4.351493581	3.978293798	3.656505871	2.926684015
0.089	4.812417422	4.384677306	4.012140521	3.690165512	2.957769752
0.09	4.842735299	4.417260449	4.045468208	3.723377239	2.988559134
0.091	4.872383139	4.449253776	4.078284729	3.756146935	3.019054934
0.092	4.901375635	4.480667869	4.110597846	3.788480416	3.0492599
0.093	4.929727171	4.511513134	4.142415212	3.820383427	3.079176764
0.094	4.95745183	4.541799798	4.173744371	3.851861648	3.108808237
0.095	4.984563393	4.571537915	4.204592761	3.882920688	3.138157007
0.096	5.011075349	4.600737361	4.234967712	3.913566088	3.167225742
0.097	5.037000897	4.629407847	4.264876448	3.943803319	3.196017088
0.098	5.062352955	4.657558908	4.294326087	3.973637787	3.224533669
0.099	5.08714416	4.685199918	4.323323645	4.003074828	3.252778088
0.1	5.111386878	4.712340084	4.351876031	4.032119711	3.280752924
0.101	5.135093207	4.738988449	4.379990056	4.060777638	3.308460733
0.102	5.158274981	4.7651539	4.407672426	4.089053746	3.335904052
0.103	5.180943779	4.790845164	4.434929749	4.116953104	3.363085392
0.104	5.203110926	4.816070814	4.461768534	4.144480716	3.390007244
0.105	5.2247875	4.840839269	4.488195192	4.171641523	3.416672075
0.106	5.24598434	4.865158801	4.514216038	4.1984404	3.44308233
0.107	5.266712044	4.889037531	4.539837292	4.22488216	3.469240434
0.108	5.28698098	4.912483436	4.565065078	4.250971553	3.495148785
0.109	5.306801288	4.935504351	4.589905432	4.276713266	3.520809764
0.11	5.326182885	4.95810797	4.614364293	4.302111926	3.546225727
0.111	5.345135473	4.980301847	4.638447514	4.327172097	3.571399008
0.112	5.363668536	5.002093403	4.662160858	4.351898285	3.596331922
0.113	5.381791354	5.023489925	4.685509998	4.376294937	3.62102676
0.114	5.399513001	5.044498566	4.708500525	4.400366439	3.645485792
0.115	5.416842349	5.065126355	4.731137941	4.424117123	3.669711266
0.116	5.433788078	5.085380189	4.753427665	4.447551259	3.693705412
0.117	5.450358674	5.105266845	4.775375036	4.470673064	3.717470435
0.118	5.466562438	5.124792975	4.796985307	4.493486697	3.741008521
0.119	5.482407487	5.143965112	4.818263654	4.515996265	3.764321837
0.12	5.497901757	5.162789672	4.839215172	4.538205818	3.787412526
0.121	5.513053013	5.181272951	4.85984488	4.560119352	3.810282714
0.122	5.527868843	5.199421137	4.880157719	4.581740811	3.832934505
0.123	5.542356673	5.217240302	4.900158554	4.603074087	3.855369983
0.124	5.556523761	5.234736408	4.919852175	4.62412302	3.877591214
0.125	5.570377207	5.251915313	4.939243301	4.644891399	3.899600242
0.126	5.583923951	5.268782765	4.958336577	4.665382961	3.921399094
0.127	5.597170784	5.285344409	4.977136577	4.685601396	3.942989775
0.128	5.610124343	5.301605789	4.995647804	4.705550343	3.964374274
0.129	5.62279112	5.317572349	5.013874694	4.725233394	3.985554558
0.13	5.635177463	5.333249431	5.031821613	4.744654093	4.006532578
0.131	5.64728958	5.348642284	5.049492861	4.763815934	4.027310264
0.132	5.659133542	5.36375606	5.066892672	4.782722369	4.04788953
0.133	5.670715284	5.378595819	5.084025215	4.801376802	4.068272269
0.134	5.682040611	5.393166528	5.100894595	4.81978259	4.088460359
0.135	5.6931152	5.407473064	5.117504854	4.837943047	4.108455658
0.136	5.703944602	5.421520217	5.133859971	4.855861444	4.128260008
0.137	5.714534244	5.435312689	5.149963866	4.873541007	4.14787523
0.138	5.724889434	5.448855097	5.165820397	4.890984918	4.167303132
0.139	5.735015362	5.462151975	5.181433363	4.908196319	4.186545502
0.14	5.744917105	5.475207774	5.196806507	4.925178309	4.205604111
0.141	5.754599625	5.488026865	5.21194351	4.941933944	4.224480715
0.142	5.764067776	5.500613539	5.226848001	4.958466243	4.243177051
0.143	5.773326303	5.51297201	5.24152355	4.974778182	4.261694842
0.144	5.782379848	5.525106415	5.255973675	4.990872697	4.280035791
0.145	5.791232948	5.537020817	5.270201837	5.006752688	4.298201588
0.146	5.799890042	5.548719204	5.284211447	5.022421013	4.316193905
0.147	5.808355468	5.560205492	5.298005861	5.037880494	4.334014399
0.148	5.81663347	5.571483528	5.311588385	5.053133913	4.351664711
0.149	5.824728197	5.582557086	5.324962273	5.068184019	4.369146466
0.15	5.832643708	5.593429873	5.33813073	5.08303352	4.386461273
0.151	5.84038397	5.604105531	5.351096911	5.097685091	4.403610727
0.152	5.847952862	5.614587633	5.363863924	5.112141369	4.420596407
0.153	5.85535418	5.624879687	5.376434829	5.126404958	4.437419877
0.154	5.862591632	5.634985141	5.388812636	5.140478426	4.454082686
0.155	5.869668847	5.644907376	5.401000313	5.154364308	4.470586368
0.156	5.876589373	5.654649716	5.413000779	5.168065103	4.486932443
0.157	5.883356678	5.66421542	5.424816911	5.181583278	4.503122416
0.158	5.889974155	5.673607693	5.43645154	5.194921269	4.519157778
0.159	5.896445121	5.682829677	5.447907453	5.208081475	4.535040005
0.16	5.90277282	5.691884461	5.459187397	5.221066268	4.550770559
0.161	5.908960423	5.700775077	5.470294074	5.233877985	4.56635089
0.162	5.915011033	5.7095045	5.481230145	5.246518933	4.581782431
0.163	5.920927682	5.718075653	5.491998231	5.258991389	4.597066603
0.164	5.926713337	5.726491405	5.502600913	5.271297597	4.612204814
0.165	5.932370897	5.734754575	5.513040731	5.283439775	4.627198459
0.166	5.937903198	5.742867928	5.523320186	5.295420108	4.642048916
0.167	5.943313014	5.750834181	5.533441743	5.307240754	4.656757554
0.168	5.948603057	5.758656	5.543407827	5.318903841	4.671325728
0.169	5.953775977	5.766336005	5.553220825	5.330411469	4.685754777
0.17	5.958834369	5.773876767	5.562883089	5.341765711	4.700046032
0.171	5.963780769	5.78128081	5.572396935	5.35296861	4.714200808
0.172	5.968617654	5.788550612	5.581764642	5.364022185	4.728220409
0.173	5.973347451	5.795688609	5.590988455	5.374928425	4.742106124
0.174	5.97797253	5.802697189	5.600070584	5.385689295	4.755859234
0.175	5.98249521	5.809578699	5.609013207	5.396306732	4.769481003
0.176	5.986917757	5.816335443	5.617818465	5.406782648	4.782972687
0.177	5.991242389	5.822969683	5.626488468	5.417118928	4.796335528
0.178	5.995471273	5.82948364	5.635025295	5.427317436	4.809570756
0.179	5.99960653	5.835879494	5.643430991	5.437380006	4.82267959
0.18	6.003650232	5.842159388	5.65170757	5.447308451	4.835663237
0.181	6.007604406	5.848325423	5.659857016	5.457104558	4.848522893
0.182	6.011471035	5.854379664	5.66788128	5.466770092	4.86125974
0.183	6.015252056	5.860324138	5.675782288	5.476306793	4.873874954
0.184	6.018949366	5.866160834	5.68356193	5.485716378	4.886369694
0.185	6.022564816	5.871891707	5.691222073	5.495000542	4.898745111
0.186	6.026100221	5.877518677	5.69876455	5.504160955	4.911002346
0.187	6.029557351	5.883043625	5.706191171	5.513199269	4.923142525
0.188	6.032937941	5.888468403	5.713503714	5.522117109	4.935166769
0.189	6.036243684	5.893794825	5.720703931	5.530916083	4.947076183
0.19	6.039476238	5.899024677	5.727793549	5.539597774	4.958871864
0.191	6.042637223	5.904159708	5.734774266	5.548163746	4.970554898
0.192	6.045728223	5.909201637	5.741647754	5.556615541	4.982126362
0.193	6.048750789	5.914152153	5.748415661	5.56495468	4.99358732
0.194	6.051706435	5.919012913	5.755079609	5.573182667	5.004938827
0.195	6.054596642	5.923785544	5.761641195	5.581300981	5.01618193
