t	I1	I2	I3	I4
0	0	0	0	0
0.001	0.14083875	0.142240815	0.14364288	0.14644701
0.002	0.508453043	0.513723033	0.518993023	0.529533004
0.003	1.03120279	1.042350684	1.053498579	1.075794368
0.004	1.653574093	1.672232088	1.690890083	1.728206074
0.005	2.33297131	2.360458613	2.387945916	2.442920523
0.006	3.037109626	3.074486213	3.111862799	3.186615972
0.007	3.741899519	3.790010729	3.838121939	3.93434436
0.008	4.429733721	4.48924726	4.5487608	4.667787879
0.009	5.088103192	5.159539823	5.230976454	5.373849716
0.01	5.708481684	5.792240687	5.87599969	6.043517697
0.011	6.285429297	6.381809593	6.478189889	6.67095048
0.012	6.815874337	6.925092004	7.034309671	7.252745004
0.013	7.298540083	7.420742887	7.542945692	7.7873513
0.014	7.733489142	7.86876859	8.004048037	8.274606933
0.015	8.121763022	8.270164352	8.418565681	8.71536834
0.016	8.465098635	8.626629103	8.788159572	9.111220508
0.017	8.7657068	8.940342554	9.114978307	9.464249814
0.018	9.026100588	9.213792357	9.401484126	9.776867664
0.019	9.24896358	9.4496414	9.650319219	10.05167486
0.02	9.437050008	9.650627128	9.864204248	10.29135849
0.021	9.593110215	9.819486342	10.04586247	10.49861472
0.022	9.719836169	9.958900148	10.19796413	10.67609209
0.023	9.819822736	10.07145477	10.32308681	10.82635088
0.024	9.895541272	10.15961477	10.42368827	10.95183527
0.025	9.949322767	10.22570585	10.50208894	11.05485512
0.026	9.983348312	10.27190509	10.56046186	11.13757541
0.027	9.99964513	10.30023671	10.60082828	11.20201144
0.028	10.00008675	10.31257212	10.62505748	11.25002821
0.029	9.986396219	10.31063293	10.63486965	11.28334308
0.03	9.960151465	10.29599625	10.63184104	11.30353061
0.031	9.922792143	10.27010135	10.61741057	11.31202899
0.032	9.875627411	10.23425743	10.59288746	11.3101475
0.033	9.819844247	10.18965181	10.55945938	11.29907451
0.034	9.756515984	10.13735844	10.51820089	11.27988579
0.035	9.686610845	10.07834635	10.47008186	11.25355287
0.036	9.611000297	10.01348802	10.41597575	11.2209512
0.037	9.530467112	9.943567353	10.35666759	11.18286808
0.038	9.445713044	9.869287347	10.29286165	11.14001025
0.039	9.357366088	9.791277332	10.22518858	11.09301106
0.04	9.265987265	9.710099733	10.1542122	11.04243714
0.041	9.17207694	9.626256374	10.08043581	10.98879467
0.042	9.07608067	9.540194307	10.00430794	10.93253522
0.043	8.978394582	9.452311188	9.926227795	10.87406101
0.044	8.879370308	9.362960199	9.846550089	10.81372987
0.045	8.779319498	9.272454548	9.765589599	10.7518597
0.046	8.67851792	9.181071575	9.683625231	10.68873254
0.047	8.577209192	9.08905647	9.600903749	10.62459831
0.048	8.475608162	8.996625651	9.517643141	10.55967812
0.049	8.373903961	8.903969816	9.434035671	10.49416738
0.05	8.27226276	8.811256693	9.350250627	10.42823849
0.051	8.17083025	8.718633523	9.266436797	10.36204334
