t	alpha1	alpha2	alpha3	alpha4
0	0	0	0	0
0.001	0	-1.16E-05	-2.32E-05	-4.64E-05
0.002	3.25E-06	-4.31E-05	-8.95E-05	-0.000182303
0.003	1.67E-05	-8.76E-05	-0.000191848	-0.000400395
0.004	5.04E-05	-0.000134797	-0.000319948	-0.00069025
0.005	0.000116156	-0.000172718	-0.000461592	-0.001039341
0.006	0.000227177	-0.000188097	-0.00060337	-0.001433918
0.007	0.000396983	-0.000167175	-0.000731333	-0.00185965
0.008	0.000639166	-9.62E-05	-0.000831475	-0.002302116
0.009	0.000967001	3.85E-05	-0.00089008	-0.00274716
0.01	0.001393201	0.000249613	-0.000893974	-0.003181148
0.011	0.001929751	0.000549527	-0.000830696	-0.003591142
0.012	0.002587801	0.000949596	-0.000688608	-0.003965017
0.013	0.003377605	1.46E-03	-0.00045696	-0.004291525
0.014	0.004308498	0.002091291	-0.000125915	-0.004560328
0.015	0.00538889	0.002851167	0.000313443	-0.004762004
0.016	0.006626295	0.003747715	0.000869135	-0.004888026
0.017	0.008027354	0.004787832	0.00154831	-0.004930734
0.018	0.009597886	0.00597759	0.002357294	-0.004883298
0.019	0.01134293	0.007322281	0.003301631	-0.004739668
0.02	0.013266803	0.008826471	0.00438614	-0.004494523
0.021	0.015373146	0.010494053	0.005614961	-0.004143224
0.022	0.017664981	0.012328296	0.006991611	-0.003681759
0.023	0.020144765	0.014331902	0.008519038	-0.003106689
0.024	0.022814435	0.01650705	0.010199665	-0.002415104
0.025	0.02567546	0.018855452	0.012035443	-0.001604575
0.026	0.028728884	0.021378387	1.40E-02	-0.000673104
0.027	0.031975369	0.024076755	0.016178141	0.000380913
0.028	0.035415232	0.026951105	0.018486978	0.001558724
0.029	0.039048485	0.030001679	0.020954873	0.002861261
0.03	0.042874868	0.033228444	0.02358202	0.004289172
0.031	0.046893873	0.036631117	0.026368361	0.005842849
0.032	0.051104782	0.040209201	0.02931362	0.007522459
0.033	0.055506683	0.043962004	0.032417326	0.009327968
0.034	0.060098501	0.047888667	0.035678832	0.011259164
0.035	0.064879011	0.051988178	0.039097344	0.013315677
0.036	0.069846864	0.056259398	0.042671932	0.015496999
0.037	0.075000598	0.060701074	0.04640155	0.017802502
0.038	0.080338658	0.065311856	0.050285053	0.020231449
0.039	0.085859404	0.070090306	0.054321209	0.022783014
0.04	0.091561129	0.075034919	0.058508708	0.025456288
0.041	0.097442067	0.080144124	0.06284618	0.028250294
0.042	0.103500402	0.0854163	0.067332198	0.031163995
0.043	0.109734278	0.090849784	0.071965291	0.034196304
0.044	0.116141806	0.096442877	0.076743948	0.037346091
0.045	0.122721072	0.102193851	0.08166663	0.040612188
0.046	0.129470141	0.108100956	0.086731771	0.043993401
0.047	0.136387063	0.114162425	0.091937786	0.047488508
0.048	0.143469881	0.120376478	0.097283076	0.05109627
0.049	0.150716628	0.126741329	0.10276603	0.054815431
0.05	0.158125339	0.133255185	0.108385032	0.058644725
