t	w1	w2	w3	w4
0	0	0	0	0
0.001	0.000519997	-0.011326834	-0.023173664	-0.046867325
0.002	0.003607647	-0.020059623	-0.043726893	-0.091061433
0.003	0.011136049	-0.02430323	-0.059742508	-0.130621065
0.004	0.024352951	-0.022791971	-0.069936894	-0.164226738
0.005	0.044023701	-0.014745969	-0.073515639	-0.191054979
0.006	0.070545559	0.000243751	-0.070058057	-0.210661674
0.007	0.104038767	0.022306809	-0.059425149	-0.222889064
0.008	0.144418762	0.051366091	-0.041686581	-0.227791924
0.009	0.191453153	0.087195052	-0.01706305	-0.225579252
0.01	0.244806385	0.129462665	0.014118944	-0.216568497
0.011	0.304074509	0.177768413	0.051462318	-0.201149873
0.012	0.368811998	0.231669304	0.094526609	-0.179758779
0.013	0.438552217	0.290700487	0.142848757	-0.152854704
0.014	0.512822822	0.354390792	0.195958762	-0.120905298
0.015	0.591157143	0.422274219	0.253391295	-0.084374554
0.016	0.673102411	0.493898251	0.314694091	-0.043714229
0.017	0.758225483	0.56882966	0.379433836	0.000642189
0.018	0.846116651	0.646658372	0.447200092	0.048283533
0.019	0.936391947	0.726999827	0.517607707	0.098823467
0.02	1.028694313	0.809496192	0.59029807	0.151901827
0.021	1.12269392	0.893816709	0.664939499	0.207185078
0.022	1.21808784	0.979657408	0.741226976	0.264366113
0.023	1.314599275	1.066740347	0.818881419	0.323163563
0.024	1.41197646	1.154812543	0.897648626	0.383320792
0.025	1.509991348	1.243644672	0.977297995	0.444604643
0.026	1.608438179	1.33302965	1.057621121	0.506804063
0.027	1.707131972	1.422781139	1.138430307	0.569728642
0.028	1.805907007	1.512732037	1.219557068	0.633207128
0.029	1.904615321	1.602732979	1.300850638	0.697085956
0.03	2.003125243	1.692650885	1.382176527	0.761227811
0.031	2.101319999	1.782367562	1.463415124	0.82551025
0.032	2.199096382	1.871778384	1.544460386	0.889824391
0.033	2.296363504	1.960791048	1.625218591	0.954073678
0.034	2.393041633	2.049324407	1.705607182	1.01817273
0.035	2.48906111	2.1373074	1.785553689	1.082046269
0.036	2.584361356	2.224678049	1.864994743	1.14562813
0.037	2.678889952	2.311382552	1.943875153	1.208860354
0.038	2.772601806	2.397374444	2.022147081	1.271692355
0.039	2.865458388	2.48261383	2.099769273	1.334080157
0.04	2.957427032	2.5670667	2.176706369	1.395985707
0.041	3.048480309	2.650704292	2.252928275	1.457376241
0.042	3.138595459	2.733502525	2.328409592	1.518223725
