t	w	U	I	alpha
0	0	0	0	0
0.001	0.000519997	1.173955078	0.14083875	0
0.002	0.003607647	2.209955149	0.508453043	3.25E-06
0.003	0.011136049	3.124211721	1.03120279	1.67E-05
0.004	0.024352951	3.931031242	1.653574093	5.04E-05
0.005	0.044023701	4.643038964	2.33297131	0.000116156
0.006	0.070545559	5.271376508	3.037109626	0.000227177
0.007	0.104038767	5.825876209	3.741899519	0.000396983
0.008	0.144418762	6.315214974	4.429733721	0.000639166
0.009	0.191453153	6.747050064	5.088103192	0.000967001
0.01	0.244806385	7.128138907	5.708481684	0.001393201
0.011	0.304074509	7.464444849	6.285429297	0.001929751
0.012	0.368811998	7.761230464	6.815874337	0.002587801
0.013	0.438552217	8.023139905	7.298540083	0.003377605
0.014	0.512822822	8.254271577	7.733489142	0.004308498
0.015	0.591157143	8.458242267	8.121763022	0.00538889
0.016	0.673102411	8.638243745	8.465098635	0.006626295
0.017	0.758225483	8.797092706	8.7657068	0.008027354
0.018	0.846116651	8.937274846	9.026100588	0.009597886
0.019	0.936391947	9.060983759	9.24896358	0.01134293
0.02	1.028694313	9.170155264	9.437050008	0.013266803
0.021	1.12269392	9.266497695	9.593110215	0.015373146
0.022	1.21808784	9.351518637	9.719836169	0.017664981
0.023	1.314599275	9.42654851	9.819822736	0.020144765
0.024	1.41197646	9.492761397	9.895541272	0.022814435
0.025	1.509991348	9.551193407	9.949322767	0.02567546
0.026	1.608438179	9.602758896	9.983348312	0.028728884
0.027	1.707131972	9.648264768	9.99964513	0.031975369
0.028	1.805907007	9.688423107	10.00008675	0.035415232
0.029	1.904615321	9.723862319	9.986396219	0.039048485
0.03	2.003125243	9.755136962	9.960151465	0.042874868
0.031	2.101319999	9.782736427	9.922792143	0.046893873
0.032	2.199096382	9.807092595	9.875627411	0.051104782
0.033	2.296363504	9.828586597	9.819844247	0.055506683
0.034	2.393041633	9.847554774	9.756515984	0.060098501
0.035	2.48906111	9.864293942	9.686610845	0.064879011
0.036	2.584361356	9.879066041	9.611000297	0.069846864
0.037	2.678889952	9.892102226	9.530467112	0.075000598
0.038	2.772601806	9.903606489	9.445713044	0.080338658
0.039	2.865458388	9.913758851	9.357366088	0.085859404
0.04	2.957427032	9.922718179	9.265987265	0.091561129
0.041	3.048480309	9.930624669	9.17207694	0.097442067
0.042	3.138595459	9.937602044	9.07608067	0.103500402
0.043	3.227753871	9.943759486	8.978394582	0.109734278
0.044	3.315940627	9.949193348	8.879370308	0.116141806
0.045	3.403144076	9.953988661	8.779319498	0.122721072
