t	w	alpha
0	0	0
0.001	0.09675	0
0.002	0.033009066	0.000281463
0.003	0.379376272	0.00051716
0.004	0.310265583	0.001327596
0.005	0.644619111	0.002085902
0.006	0.580194932	0.003399265
0.007	0.902589287	0.004666128
0.008	0.8426226	0.006468616
0.009	1.153499909	0.008229925
0.01	1.097757264	0.01050813
0.011	1.397543416	0.012750165
0.012	1.345802336	0.015491047
0.013	1.634907009	0.018200469
0.014	1.586955522	0.021391344
0.015	1.865772818	0.024555186
0.016	1.821408989	0.028183715
0.017	2.090318038	0.03178937
0.018	2.049349517	0.035843554
0.019	2.308715058	0.039878767
0.02	2.270958651	0.044346933
0.021	2.521131592	0.048799789
0.022	2.486412853	0.053670584
0.023	2.727730808	0.058529499
0.024	2.695883639	0.063791881
0.025	2.928671444	0.069045594
0.026	2.899537724	0.074688821
0.027	3.124107933	0.080326383
0.028	3.097537155	0.086340009
0.029	3.314190514	0.092350778
0.03	3.290039443	0.098724641
0.031	3.499065348	0.105098268
0.032	3.477197692	0.111822486
0.033	3.678874627	0.11854891
0.034	3.65916072	0.125613869
0.035	3.853756682	0.13268331
0.036	3.836073183	0.140079662
0.037	4.023846083	0.147482611
0.038	4.00807569	0.15520126
0.039	4.189273745	0.162928473
0.04	4.17530492	0.170960576
0.041	4.350167025	0.179003065
0.042	4.337893729	0.187340018
0.043	4.506649817	0.195689045
0.044	4.495971258	0.204322481
0.045	4.658842646	0.21296955
0.046	4.649663041	0.221891331
0.047	4.806862759	0.230828184
0.048	4.799091103	0.240030394
0.049	4.950824215	0.249249001
0.05	4.94437406	0.258723942
0.051	5.090837967	0.268216495
0.052	5.085627213	0.277956679
0.053	5.227011952	0.287715589
0.054	5.222962645	0.297713734
0.055	5.359451166	0.307731621
0.056	5.356489308	0.317980643
0.057	5.488257749	0.328250333
0.058	5.486313112	0.338743343
0.059	5.613531057	0.34925786
0.06	5.61253701	0.359988158
0.061	5.735367743	0.370740722
0.062	5.735261082	0.38170179
0.063	5.853861826	0.392685807
0.064	5.854582617	0.403871308
0.065	5.969104762	0.415080367
0.066	5.970596186	0.426484137
0.067	6.081185518	0.437912005
0.068	6.083393723	0.449528048
0.069	6.190190635	0.461168666
0.07	6.1930646	0.472991151
0.071	6.296204293	0.484838628
0.072	6.299695693	0.496861883
0.073	6.399308379	0.508910491
0.074	6.403371457	0.521129001
0.075	6.499582549	0.533373171
0.076	6.504173993	0.54578157
0.077	6.597104282	0.558215887
0.078	6.602183113	0.57080896
0.079	6.691948947	0.58342816
0.08	6.697476403	0.59620083
0.081	6.784189855	0.608999795
0.082	6.790129289	0.621947128
0.083	6.873898319	0.634920881
0.084	6.880215093	0.648038077
0.085	6.961143703	0.661181779
0.086	6.967805097	0.674464171
0.087	7.045993481	0.687773119
0.088	7.052968595	0.701216165
0.089	7.128513281	0.714685784
0.09	7.135772952	0.72828507
0.091	7.208766944	0.741910914
0.092	7.216283656	0.755662144
0.093	7.286816563	0.76943989
0.094	7.294564372	0.783338888
0.095	7.362722539	0.797264331
0.096	7.370676993	0.811307035
0.097	7.43654362	0.825376088
0.098	7.444681689	0.839558548
0.099	7.508336953	0.853767237
0.1	7.516636953	0.86808561
0.101	7.578158121	0.882430071
0.102	7.586599654	0.896880621
