t	delta
0	0
0.1669	0.058045
0.33381	0.11837
0.50071	0.17759
0.66762	0.233
0.83452	0.28248
1.0014	0.32455
1.1683	0.35828
1.3352	0.38328
1.5021	0.39956
1.669	0.40752
1.8359	0.40784
2.0029	0.40141
2.1698	0.38925
2.3367	0.37247
2.5036	0.35219
2.6705	0.32947
2.8374	0.30535
3.0043	0.28071
3.1712	0.25636
3.3381	0.23295
3.505	0.211
3.6719	0.19088
3.8388	0.17286
4.0057	0.15707
4.1726	0.14353
4.3395	0.1322
4.5064	0.12294
4.6733	0.11558
4.8402	0.10989
5.0071	0.10563
5.174	0.10254
5.3409	0.10038
5.5078	0.098911
5.6747	0.097903
5.8416	0.097163
6.0086	0.096525
6.1755	0.095849
6.3424	0.095028
6.5093	0.093983
6.6762	0.092664
6.8431	0.091044
7.01	0.089117
7.1769	0.086897
7.3438	0.08441
7.5107	0.081693
7.6776	0.078792
7.8445	0.075754
8.0114	0.072629
8.1783	0.069465
8.3452	0.066307
8.5121	0.063197
8.679	0.060169
8.8459	0.057253
9.0128	0.054471
9.1797	0.051839
9.3466	0.049368
9.5135	0.047063
9.6804	0.044922
9.8473	0.042942
10.014	0.041115
10.181	0.039431
10.348	0.037877
10.515	0.03644
10.682	0.035107
10.849	0.033863
11.016	0.032695
11.183	0.031592
11.349	0.030542
11.516	0.029537
11.683	0.028566
11.85	0.027625
12.017	0.026707
12.184	0.02581
12.351	0.024929
12.518	0.024065
12.685	0.023216
12.852	0.022381
13.019	0.021563
13.185	0.020762
13.352	0.019979
13.519	0.019215
13.686	0.018473
13.853	0.017753
14.02	0.017056
14.187	0.016384
14.354	0.015737
14.521	0.015115
14.688	0.014519
14.854	0.013948
15.021	0.013402
15.188	0.01288
15.355	0.012381
15.522	0.011905
15.689	0.01145
15.856	0.011016
16.023	0.010601
16.19	0.010204
16.357	0.0098234
16.524	0.0094589
16.69	0.009109
16.857	0.008773
17.024	0.0084498
17.191	0.0081387
17.358	0.007839
17.525	0.00755
17.692	0.0072712
17.859	0.0070022
18.026	0.0067424
18.193	0.0064915
18.359	0.0062494
18.526	0.0060155
18.693	0.0057898
18.86	0.0055721
19.027	0.005362
19.194	0.0051594
19.361	0.0049642
19.528	0.0047762
19.695	0.0045951
19.862	0.0044209
20.029	0.0042532
20.195	0.0040919
20.362	0.0039368
20.529	0.0037877
20.696	0.0036444
20.863	0.0035066
21.03	0.0033743
21.197	0.003247
21.364	0.0031247
21.531	0.0030071
21.698	0.0028941
21.864	0.0027854
22.031	0.0026809
22.198	0.0025804
22.365	0.0024836
22.532	0.0023905
22.699	0.002301
22.866	0.0022147
23.033	0.0021317
23.2	0.0020518
23.367	0.0019748
23.533	0.0019008
23.7	0.0018294
23.867	0.0017607
24.034	0.0016945
24.201	0.0016309
24.368	0.0015695
24.535	0.0015105
24.702	0.0014536
24.869	0.0013989
25.036	0.0013462
25.203	0.0012955
25.369	0.0012468
25.536	0.0011998
25.703	0.0011546
25.87	0.0011111
26.037	0.0010693
26.204	0.001029
26.371	0.00099031
26.538	0.00095304
26.705	0.00091718
26.872	0.00088268
27.038	0.00084948
27.205	0.00081754
27.372	0.0007868
27.539	0.00075722
27.706	0.00072876
27.873	0.00070137
28.04	0.00067501
28.207	0.00064964
28.374	0.00062522
28.541	0.00060172
28.708	0.0005791
28.874	0.00055734
29.041	0.00053638
29.208	0.00051622
29.375	0.00049681
29.542	0.00047813
29.709	0.00046015
29.876	0.00044285
30.043	0.00042619
30.21	0.00041016
30.377	0.00039473
30.543	0.00037989
30.71	0.0003656
30.877	0.00035185
31.044	0.00033861
31.211	0.00032587
31.378	0.00031362
31.545	0.00030182
31.712	0.00029047
31.879	0.00027954
32.046	0.00026903
32.213	0.00025891
32.379	0.00024917
32.546	0.0002398
32.713	0.00023078
32.88	0.0002221
33.047	0.00021375
33.214	0.00020571
33.381	0.00019798
33.548	0.00019053
33.715	0.00018337
33.882	0.00017647
34.048	0.00016984
34.215	0.00016345
34.382	0.00015731
34.549	0.00015139
34.716	0.0001457
34.883	0.00014022
35.05	0.00013495
35.217	0.00012987
35.384	0.00012499
35.551	0.00012029
35.717	0.00011576
35.884	0.00011141
36.051	0.00010722
36.218	0.00010319
36.385	9.93E-05
