Re1	Im1	Re2	Im2	Re3	Im3
0	0	-0.66667	1.1055	-0.66667	-1.1055
-0.10625	0	-0.61354	1.1163	-0.61354	-1.1163
-0.21085	0	-0.56124	1.1329	-0.56124	-1.1329
-0.31183	0	-0.51075	1.156	-0.51075	-1.156
-0.40702	0	-0.46316	1.1852	-0.46316	-1.1852
-0.56643	0	-0.38345	1.2538	-0.38345	-1.2538
-0.69016	0	-0.32159	1.328	-0.32159	-1.328
-0.8608	0	-0.23627	1.4684	-0.23627	-1.4684
-0.97716	0	-0.17809	1.5958	-0.17809	-1.5958
-1.2305	0	-0.051395	2.0002	-0.051395	-2.0002
-1.4485	0	0.057596	2.578	0.057596	-2.578
-1.6286	0	0.14763	3.3974	0.14763	-3.3974
-1.7666	0	0.21665	4.5604	0.21665	-4.5604
-1.8627	0	0.2647	6.2115	0.2647	-6.2115

