w                         logW                       A                         logA                     psi
  1  0        5.024938        14.02261       -84.3     
  5  0.7       1.118034        0.9691       -63.4     
  15  1.18        0.600925        -4.42359       -33.7     
  25  1.4        0.538516        -5.37602       -21.8     
  35      1.54        0.520008        -5.6798       -16     
  45      1.65        0.512197        -5.81126       -12.53     
  55      1.74        0.508197        -5.87935       -10.3     
  65      1.81        0.505883        -5.91901       -8.75     
   75        1.88        0.504425        -5.94407       -7.6    
   85       1.93        0.503448        -5.9609       -6.7     
   100       2       0.502494       -5.97739       -5.7          
